Day,Site,Stratum,Number,Label,Life_stage,Sex,Weight_g,SVL_mm,Relative_lake_elevation_cm,Temperature_C,pH,Conductivity_uS,Dissolved_oxygen_ppm,Dissolved_oxygen_pct,Start_time,End_time,Observers,Stratum_minimum_sampling_time_min,UTM_x,UTM_y,Site_comments,Salamander_comments
6/16/2018,Gibson Lakes,1,1,1-1,Age-2+M,Female,23,90,56.1,16.7,7.74,111,7.23,102,10:45,14:20,"KG, JH, MH",25,447793,4654057,"Lake dividing. 1-W sample of 1 L clogged in filter, discarded. Start time taken when beginning to capture salamanders. Start time taken when beginning to take water quality measurements during all subsequent sampling events.",
6/16/2018,Gibson Lakes,1,2,1-2,Age-2+M,Female,21,87,56.1,16.7,7.74,111,7.23,102,10:45,14:20,"KG, JH, MH",25,447793,4654057,"Lake dividing. 1-W sample of 1 L clogged in filter, discarded. Start time taken when beginning to capture salamanders. Start time taken when beginning to take water quality measurements during all subsequent sampling events.",
6/16/2018,Gibson Lakes,1,3,1-3,Age-2+M,Male,21,102,56.1,16.7,7.74,111,7.23,102,10:45,14:20,"KG, JH, MH",25,447793,4654057,"Lake dividing. 1-W sample of 1 L clogged in filter, discarded. Start time taken when beginning to capture salamanders. Start time taken when beginning to take water quality measurements during all subsequent sampling events.",
6/16/2018,Gibson Lakes,1,4,1-4,Age-2+M,Female,17,83,56.1,16.7,7.74,111,7.23,102,10:45,14:20,"KG, JH, MH",25,447793,4654057,"Lake dividing. 1-W sample of 1 L clogged in filter, discarded. Start time taken when beginning to capture salamanders. Start time taken when beginning to take water quality measurements during all subsequent sampling events.",
6/16/2018,Gibson Lakes,1,5,1-5,Age-2+M,Male,23,95,56.1,16.7,7.74,111,7.23,102,10:45,14:20,"KG, JH, MH",25,447793,4654057,"Lake dividing. 1-W sample of 1 L clogged in filter, discarded. Start time taken when beginning to capture salamanders. Start time taken when beginning to take water quality measurements during all subsequent sampling events.",
6/16/2018,Gibson Lakes,2,1,2-1,Age-1M,,4,48,56.1,16.9,8.03,105,7.48,104.9,10:45,14:20,"KG, JH, MH",25,447823,4654112,"Lake dividing. 1-W sample of 1 L clogged in filter, discarded. Start time taken when beginning to capture salamanders. Start time taken when beginning to take water quality measurements during all subsequent sampling events.",tiny metamorph
6/16/2018,Gibson Lakes,2,2,2-2,Age-1M,,5,51,56.1,16.9,8.03,105,7.48,104.9,10:45,14:20,"KG, JH, MH",25,447823,4654112,"Lake dividing. 1-W sample of 1 L clogged in filter, discarded. Start time taken when beginning to capture salamanders. Start time taken when beginning to take water quality measurements during all subsequent sampling events.","tiny metamorph
tiny metamorhp"
6/16/2018,Gibson Lakes,2,3,2-3,Age-1M,,4,51,56.1,16.9,8.03,105,7.48,104.9,10:45,14:20,"KG, JH, MH",25,447823,4654112,"Lake dividing. 1-W sample of 1 L clogged in filter, discarded. Start time taken when beginning to capture salamanders. Start time taken when beginning to take water quality measurements during all subsequent sampling events.","tiny metamorph
tiny metamorph"
6/16/2018,Gibson Lakes,2,4,2-4,Age-2+M,Male,27,106,56.1,16.9,8.03,105,7.48,104.9,10:45,14:20,"KG, JH, MH",25,447823,4654112,"Lake dividing. 1-W sample of 1 L clogged in filter, discarded. Start time taken when beginning to capture salamanders. Start time taken when beginning to take water quality measurements during all subsequent sampling events.",
6/16/2018,Gibson Lakes,2,5,2-5,Age-2+M,Female,29,94,56.1,16.9,8.03,105,7.48,104.9,10:45,14:20,"KG, JH, MH",25,447823,4654112,"Lake dividing. 1-W sample of 1 L clogged in filter, discarded. Start time taken when beginning to capture salamanders. Start time taken when beginning to take water quality measurements during all subsequent sampling events.",
