"SampleID","ImproperCell","Quantity","AmtOfProper","Ratio"
"CB_10","E4",2,9,0.222222222222222
"G6_23","H11",82381,58676,1.40399822755471
"G6_2W","E4",1,7,0.142857142857143
"G6_4S","D9",1,2,0.5
"G8_2S","C9",1,0,Inf
"G8_2S","E4",3,0,Inf
"G8_2S","B9",1,0,Inf
"G8_2S","A8",1,0,Inf
"G8_3W","B9",1,0,Inf
"G8_3W","B4",1,0,Inf
"P1_14","E4",3,16,0.1875
"P2_C2","C12",59,571,0.103327495621716
"P3_11","B3",1044,1658,0.629674306393245
"P3_CW","G12",19,135,0.140740740740741
"P5_13","B3",73188,2275,32.1705494505495
"P5_4S","F1",1,1,1
"P5_4S","C6",1,1,1
"P7_54","A3",37,184,0.201086956521739
"P7_5S","C4",1,6,0.166666666666667
