"Name","Bd_Inhibition","Bd_Inhibition_Prior","TaxaID","Dataset","NameNoDSLabel"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;marcescens;_1","Inhibitory",1,"Taxon1","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;marcescens;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_1","Inhibitory",1,"Taxon2","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;marcescens;_2","Inhibitory",1,"Taxon3","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;marcescens;_2"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_2","Inhibitory",1,"Taxon4","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_2"
"Woodhams:Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;_1","Inhibitory",1,"Taxon5","Woodhams","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;_1"
"Woodhams:Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;_1","Inhibitory",1,"Taxon6","Woodhams","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;_1"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;_1","Inhibitory",1,"Taxon7","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_1","Inhibitory",1,"Taxon8","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_1"
"Woodhams:Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium;_1","Inhibitory",1,"Taxon9","Woodhams","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;rhizosphaerae;_1","Inhibitory",1,"Taxon10","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;rhizosphaerae;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_2","Inhibitory",1,"Taxon11","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_2"
