"","Inhibitory","NonInhibitory"
"Taxon17062",0.5018,0.4982
"Taxon15943",0.4928,0.5072
"Taxon16515",0.5074,0.4926
"Taxon3041",0.5064,0.4936
"Taxon4439",0.4914,0.5086
"Taxon5631",0.5118,0.4882
"Taxon2675",0.5116,0.4884
"Taxon13835",0.5048,0.4952
"Taxon14641",0.4928,0.5072
"Taxon8290",0.4942,0.5058
"Taxon6061",0.4938,0.5062
"Taxon3758",0.5072,0.4928
"Taxon8009",0.4916,0.5084
"Taxon13500",0.5052,0.4948
"Taxon8245",0.5044,0.4956
"Taxon2058",0.4988,0.5012
"Taxon4954",0.5008,0.4992
"Taxon4239",0.5064,0.4936
"Taxon16671",0.5144,0.4856
"Taxon15786",0.4958,0.5042
"Taxon16543",0.5006,0.4994
"Taxon16903",0.502,0.498
"Taxon15749",0.495,0.505
"Taxon10556",0.4996,0.5004
"Taxon3167",0.4916,0.5084
"Taxon6190",0.5078,0.4922
"Taxon9510",0.4976,0.5024
"Taxon3719",0.5046,0.4954
"Taxon11227",0.4996,0.5004
"Taxon6172",0.4974,0.5026
"Taxon7148",0.4974,0.5026
"Taxon15433",0.4996,0.5004
"Taxon16527",0.4962,0.5038
"Taxon15082",0.5078,0.4922
"Taxon16102",0.5088,0.4912
"Taxon12851",0.5008,0.4992
"Taxon15148",0.5018,0.4982
"Taxon15631",0.497,0.503
"Taxon13934",0.4928,0.5072
"Taxon12883",0.5044,0.4956
"Taxon16732",0.4952,0.5048
"Taxon9292",0.4972,0.5028
"Taxon16857",0.511,0.489
"Taxon7816",0.4894,0.5106
"Taxon8694",0.493,0.507
"Taxon12386",0.5036,0.4964
"Taxon13212",0.4932,0.5068
"Taxon11881",0.4936,0.5064
"Taxon17392",0.5054,0.4946
"Taxon7169",0.51,0.49
"Taxon12350",0.4998,0.5002
"Taxon3070",0.501,0.499
"Taxon12043",0.511,0.489
"Taxon9220",0.499,0.501
"Taxon14428",0.5198,0.4802
"Taxon14622",0.5044,0.4956
"Taxon14913",0.491,0.509
"Taxon16146",0.5028,0.4972
"Taxon14185",0.4948,0.5052
"Taxon15141",0.483,0.517
"Taxon15888",0.5014,0.4986
"Taxon12878",0.512,0.488
"Taxon11893",0.485,0.515
"Taxon15037",0.4988,0.5012
"Taxon15346",0.5046,0.4954
"Taxon15465",0.4966,0.5034
"Taxon17377",0.501,0.499
"Taxon11968",0.5024,0.4976
"Taxon12408",0.4924,0.5076
"Taxon15443",0.5114,0.4886
"Taxon11928",0.505,0.495
"Taxon11449",0.5002,0.4998
"Taxon13204",0.4942,0.5058
"Taxon16423",0.5032,0.4968
"Taxon16668",0.5026,0.4974
"Taxon8615",0.4968,0.5032
"Taxon8719",0.4974,0.5026
"Taxon10541",0.5054,0.4946
"Taxon16458",0.499,0.501
"Taxon17402",0.4976,0.5024
"Taxon2719",0.4982,0.5018
"Taxon14340",0.5058,0.4942
