"Set","Model","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3435,"6 hrs, 45 min, 5 sec",121624.939061073
"2","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,3334,"5 hrs, 8 min, 19 sec",121692.067705944
"2","2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3334,"5 hrs, 53 min, 55 sec",121638.573124465
"2","3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3334,"5 hrs, 5 min, 50 sec",121671.498049253
"2","4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,3334,"5 hrs, 14 min, 39 sec",121659.711761594
"2","5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3334,"5 hrs, 6 min, 57 sec",121637.742948072
"2","6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,3334,"5 hrs, 12 min, 28 sec",121649.361415085
"2","7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,3334,"5 hrs, 9 min, 40 sec",121649.619303849
"2","8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,3334,"6 hrs, 49 min, 36 sec",121608.003590849
"2","9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,3334,"5 hrs, 9 min, 54 sec",121665.091291347
"2","10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,8,3334,"5 hrs, 4 min, 51 sec",121636.250369134
"2","11",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 58 min, 6 sec",121631.216551992
"2","12",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"5 hrs, 15 min, 18 sec",121618.786870781
"2","13",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"5 hrs, 2 min, 23 sec",121611.78391863
"2","14",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"5 hrs, 5 min, 15 sec",121629.084089948
"2","15",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"5 hrs, 2 min, 27 sec",121655.692926312
"2","16",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3334,"5 hrs, 21 min, 26 sec",121650.252381072
"2","17",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"5 hrs, 15 min, 20 sec",121616.778094064
"2","18",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"5 hrs, 9 min, 32 sec",121602.202136503
"2","19",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"6 hrs, 15 min, 48 sec",121651.35044675
"2","20",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"5 hrs, 51 min, 24 sec",121617.800773744
"2","21",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"5 hrs, 12 min, 14 sec",121644.1293349
"2","22",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,3334,"6 hrs, 18 min, 0 sec",121620.087622319
