"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Uncertain",0.879605539395463,0.904540081679275,0.91429204821399,0.924016924417559,0.941849135493412
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","NonInhibitory",0.00687249257717614,0.0101200324689217,0.0123199352474455,0.014679767066468,0.0203387342149865
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Inhibitory",0.0319647224648906,0.0422966570443498,0.0480748421802185,0.0543627442977202,0.0703997758789858
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Other",0.0151215396898764,0.021163738271215,0.0247808361237252,0.0288160433903846,0.0375865871715358
"Salamander","2018-06-16","Gibson Lakes","Age-1","Metamorphosed","Uncertain",0.696535255195292,0.728729368815707,0.744542952977542,0.760404948881752,0.790350110657179
"Salamander","2018-06-16","Gibson Lakes","Age-1","Metamorphosed","NonInhibitory",0.011716487256395,0.0156051073608006,0.0183114016784976,0.021169136621938,0.0268731068051797
"Salamander","2018-06-16","Gibson Lakes","Age-1","Metamorphosed","Inhibitory",0.137025316378982,0.162119181042495,0.177334559617742,0.193999207952011,0.225926400868894
"Salamander","2018-06-16","Gibson Lakes","Age-1","Metamorphosed","Other",0.0452685314000427,0.0539334220721985,0.0585503681722753,0.0635412253949844,0.0744022350017141
"Salamander","2018-06-16","Gibson Lakes","Age-2+","Metamorphosed","Uncertain",0.765077666512328,0.780158523786781,0.788114640782817,0.796147439584797,0.810733003891074
"Salamander","2018-06-16","Gibson Lakes","Age-2+","Metamorphosed","NonInhibitory",0.0153781521954999,0.0180314308593869,0.0196146159206132,0.0212551082444444,0.0248289832957027
"Salamander","2018-06-16","Gibson Lakes","Age-2+","Metamorphosed","Inhibitory",0.0867788457471373,0.0966883922452777,0.101816230622867,0.10737566599328,0.11815068708102
"Salamander","2018-06-16","Gibson Lakes","Age-2+","Metamorphosed","Other",0.0743286718649632,0.084486727452276,0.0898723565283923,0.0954635097690919,0.106711009676765
"Salamander","2018-06-23","Ponds Lake","Age-1","Larvae/Neotene","Uncertain",0.890654347893481,0.903630522525674,0.910176072394996,0.916936684764042,0.931087226545929
"Salamander","2018-06-23","Ponds Lake","Age-1","Larvae/Neotene","NonInhibitory",0.0112912532784482,0.0138762591903157,0.0153654202378092,0.0168783212628427,0.0200612534573865
"Salamander","2018-06-23","Ponds Lake","Age-1","Larvae/Neotene","Inhibitory",0.0381868814096379,0.0465289896502824,0.050611502597209,0.0544794670464647,0.0628210785785836
