"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_1",0.487751819318561,0.579881359984523,0.619020485331264,0.658236829183957,0.731142469903929
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_3",0.000874714190175276,0.00181860441010823,0.00249613544167709,0.00340819735612222,0.00640497552571017
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_4",0.00127541129313961,0.00237644350775606,0.00318355971225779,0.00426275464940297,0.00702829324391435
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter;_1",0.00700230944640561,0.0121131778875325,0.0157216090466731,0.020212597721489,0.0300244398434265
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_2",0.000408120544864299,0.00090873666907354,0.00134427547522834,0.00189414905047293,0.00335128302798633
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_1",0.00437172141471829,0.00781053804882797,0.0100774746955933,0.0130463903797042,0.0206540580943286
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_6",0.000786989619931151,0.00158350265177051,0.00217261473559902,0.00306550077742023,0.00568728541936068
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Limnohabitans;_1",0.00291972553088637,0.00565233668016371,0.00757195956491255,0.00970695253546978,0.0156061387795405
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_5",0.00125407566232829,0.00223524947842867,0.00302426384362296,0.00398910400215828,0.00651955016191653
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Candidatus_Methylopumilus;_1",0.00131936523158805,0.00327802339751781,0.00503008462461615,0.00751881244852351,0.0147728468497042
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_1",0.00150857243979539,0.0029137356188445,0.00400923483908694,0.00540107506665248,0.00904802462614289
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_7",0.00146161378004582,0.00300533192144599,0.00429159372402734,0.00592533810221821,0.0101152008584498
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera;_7",0.00122821851981537,0.00235733850751269,0.00336823424913202,0.00456951688691931,0.00765212573976206
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_3",0.00222682306035459,0.00452152193030351,0.00605708933141208,0.0080337013660971,0.0130224828107312
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;_1",0.000281262331420934,0.000702349743174128,0.00104456934968467,0.00153092856708685,0.00303695104682595
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;_1",0.00089727278356884,0.00184832713356742,0.00261196919061397,0.00365826320169775,0.0062345028034847
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera;_2",0.00135009495029396,0.00264224119043997,0.00368713235701301,0.00522154161459639,0.00871688439000924
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Paeniglutamicibacter;_1",0.00190386907875813,0.00365372257477969,0.00501781245420909,0.00650090035985837,0.011136142180521
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus;rigui;_1",0.000848067304342186,0.00169080118047074,0.00234550428733065,0.00319656112467037,0.00555083640682416
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;_1",0.00105775951442859,0.00201729826020652,0.00273853077049634,0.00387443750068043,0.00669802364422873
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Pseudoclavibacter;_1",0.00145603759734363,0.00282965371425645,0.00392890955545345,0.00514755861522844,0.00877560109132767
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;_1",0.000900620877837118,0.00177163407769718,0.00245718933839489,0.00334581460655608,0.00562664001590993
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_1",0.00154882541315631,0.00297586245571247,0.00418210461786762,0.00555818110594041,0.00911298758884581
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_4",0.00156289177270396,0.00311811668851481,0.00429602615495349,0.00596071249997837,0.0101513538102058
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;_2",0.000921309860110024,0.00189471937789231,0.00264534323981444,0.00358099937434852,0.00592081160020502
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudochrobactrum;kiredjianiae;_1",0.00124320989694847,0.00255911453949483,0.00359274827537029,0.0048929147494192,0.0085162420720919
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Bacteria;Bdellovibrionota;Oligoflexia;Silvanigrellales;Silvanigrellaceae;Silvanigrella;aquatica;_1",0.00131553675969065,0.0024187354981206,0.00328163572424321,0.00456712703517046,0.00784577107242279
