"","Num_conv_gt_1.05","Num_conv_gt_1.1","Num_conv_gt_1.2","Num_conv_gt_1.5","Num_conv_gt_2","Num_params"
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_3",2,2,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_4",13,11,7,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter;_1",9,9,9,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_2",4,2,1,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_1",10,9,9,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_6",4,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Limnohabitans;_1",41,29,15,6,1,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_5",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Candidatus_Methylopumilus;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_1",10,9,9,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_7",1,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera;_7",9,9,9,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_3",9,9,2,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;_1",7,2,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera;_2",2,1,0,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Paeniglutamicibacter;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus;rigui;_1",39,25,15,13,10,69
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;_1",12,9,9,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Pseudoclavibacter;_1",5,1,1,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;_1",47,35,19,5,5,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_1",6,2,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_4",3,0,0,0,0,69
"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;_2",4,0,0,0,0,69
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudochrobactrum;kiredjianiae;_1",1,0,0,0,0,69
"Bacteria;Bdellovibrionota;Oligoflexia;Silvanigrellales;Silvanigrellaceae;Silvanigrella;aquatica;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;_1",9,9,5,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_5",5,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia-Obesumbacterium;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;_1",7,3,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_6",2,0,0,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_21",15,11,1,0,0,69
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium;_1",9,6,0,0,0,69
"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;_1",5,3,0,0,0,69
"Bacteria;Bdellovibrionota;Oligoflexia;Silvanigrellales;Silvanigrellaceae;Silvanigrella;_1",11,9,9,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;_2",58,49,36,16,3,69
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_2",12,10,0,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_20",59,27,4,2,0,69
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_3",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;_1",9,8,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;_2",54,19,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_1",2,2,1,0,0,69
"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Zymophilus;_1",69,69,57,2,1,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_7",7,3,1,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;difficilis;_1",9,9,9,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;_1",68,63,35,15,9,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_61",68,55,20,5,2,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_2",13,8,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_3",10,4,3,0,0,69
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;terrigena;_1",15,11,9,5,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;_1",14,3,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;_1",11,9,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Chitinibacteraceae;Deefgea;_1",4,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Paucibacter;_2",3,1,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ideonella;_2",9,9,9,0,0,69
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;_1",18,5,0,0,0,69
"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Pseudarcicella;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera;_3",12,9,9,0,0,69
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_1",6,2,0,0,0,69
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Terrimicrobiaceae;FukuN18_freshwater_group;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;_2",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;_2",16,11,3,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_27",0,0,0,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium_PCC-6307;gracile;_1",8,4,0,0,0,69
"Bacteria;Patescibacteria;Gracilibacteria;_3",11,11,11,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_28",26,10,1,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;_1",10,9,1,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_19",12,11,8,0,0,69
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;_1",10,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;_1",0,0,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;koreense;_1",24,5,0,0,0,69
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;_1",66,48,1,0,0,69
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudochrobactrum;_1",38,21,1,0,0,69
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;_1",0,0,0,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;_1",39,12,0,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_31",65,58,7,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_34",8,0,0,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI_clade;_1",24,14,4,3,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_13",0,0,0,0,0,69
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;_1",4,0,0,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_13",37,20,14,3,2,69
