"","Num_conv_gt_1.05","Num_conv_gt_1.1","Num_conv_gt_1.2","Num_conv_gt_1.5","Num_conv_gt_2","Num_params"
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_3",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_4",1,1,1,1,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter;_1",1,1,1,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_2",1,1,1,1,1,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_1",1,1,1,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_6",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Limnohabitans;_1",53,48,28,3,1,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_5",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Candidatus_Methylopumilus;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_1",1,1,1,0,0,60
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_7",1,1,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera;_7",1,1,1,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_3",1,1,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;_1",1,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera;_2",1,0,0,0,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Paeniglutamicibacter;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus;rigui;_1",60,60,57,4,1,60
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;_1",2,1,1,0,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Pseudoclavibacter;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;_1",51,33,2,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_4",1,0,0,0,0,60
"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;_2",0,0,0,0,0,60
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudochrobactrum;kiredjianiae;_1",0,0,0,0,0,60
"Bacteria;Bdellovibrionota;Oligoflexia;Silvanigrellales;Silvanigrellaceae;Silvanigrella;aquatica;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;_1",1,1,1,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_5",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia-Obesumbacterium;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;_1",2,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_6",0,0,0,0,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_21",1,1,0,0,0,60
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium;_1",1,0,0,0,0,60
"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;_1",0,0,0,0,0,60
"Bacteria;Bdellovibrionota;Oligoflexia;Silvanigrellales;Silvanigrellaceae;Silvanigrella;_1",2,2,1,0,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;_2",57,56,46,4,1,60
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_2",1,1,1,0,0,60
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_20",10,3,0,0,0,60
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_3",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;_1",1,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;_2",2,1,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_1",0,0,0,0,0,60
"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Zymophilus;_1",3,3,1,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_7",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;difficilis;_1",1,1,1,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;_1",58,56,7,2,2,60
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_61",60,58,7,1,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_2",59,2,1,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_3",1,0,0,0,0,60
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;terrigena;_1",1,1,1,1,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;_1",1,1,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;_1",1,1,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Chitinibacteraceae;Deefgea;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Paucibacter;_2",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ideonella;_2",1,1,0,0,0,60
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;_1",0,0,0,0,0,60
"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Pseudarcicella;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera;_3",2,2,1,0,0,60
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_1",1,1,0,0,0,60
