"","Age1","Age2","LM","Site","Week1","Week2","Week3","Week4","Age1:LM","Age2:LM","Age1:Site","Age2:Site","LM:Site","Age1:Week1","Age2:Week1","Age1:Week2","Age2:Week2","Age1:Week3","Age2:Week3","Age1:Week4","Age2:Week4","LM:Week1","LM:Week2","LM:Week3","LM:Week4","Site:Week1","Site:Week2","Site:Week3","Site:Week4","Age1:LM:Site","Age2:LM:Site","Age1:LM:Week1","Age2:LM:Week1","Age1:LM:Week2","Age2:LM:Week2","Age1:LM:Week3","Age2:LM:Week3","Age1:LM:Week4","Age2:LM:Week4","Age1:Site:Week1","Age2:Site:Week1","Age1:Site:Week2","Age2:Site:Week2","Age1:Site:Week3","Age2:Site:Week3","Age1:Site:Week4","Age2:Site:Week4","LM:Site:Week1","LM:Site:Week2","LM:Site:Week3","LM:Site:Week4","Age1:LM:Site:Week1","Age2:LM:Site:Week1","Age1:LM:Site:Week2","Age2:LM:Site:Week2","Age1:LM:Site:Week3","Age2:LM:Site:Week3","Age1:LM:Site:Week4","Age2:LM:Site:Week4","Stratum"
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_1",0.633829333333333,0.544796,0.997365333333333,0.289105333333333,0.442384,0.371824,0.629476,0.839298666666667,0.553054666666667,0.477916,0.35336,0.528582666666667,0.663904,0.333561333333333,0.460938666666667,0.673112,0.416201333333333,0.419098666666667,0.461428,0.426226666666667,0.446054666666667,0.334976,0.405896,0.418581333333333,0.439821333333333,0.283789333333333,0.379886666666667,0.378006666666667,0.403518666666667,0.485006666666667,0.500041333333333,0.392490666666667,0.40316,0.411741333333333,0.428418666666667,0.429822666666667,0.434194666666667,0.441734666666667,0.435436,0.424466666666667,0.427146666666667,0.400992,0.435014666666667,0.427858666666667,0.432129333333333,0.441886666666667,0.433897333333333,0.477489333333333,0.410585333333333,0.494368,0.443685333333333,0.420277333333333,0.445081333333333,0.477453333333333,0.4329,0.434493333333333,0.446809333333333,0.444421333333333,0.440617333333333,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_3",0.790225333333333,0.253809333333333,0.338793333333333,0.361397333333333,0.117014666666667,0.162901333333333,0.249436,0.198778666666667,0.199512,0.285701333333334,0.22128,0.255137333333333,0.219902666666667,0.26984,0.212428,0.29374,0.231568,0.224894666666667,0.254869333333333,0.260737333333333,0.244173333333333,0.197508,0.398072,0.279034666666667,0.305245333333333,0.155174666666667,0.201046666666667,0.211889333333333,0.226918666666667,0.431428,0.530401333333333,0.215582666666667,0.220758666666667,0.311921333333333,0.272768,0.271885333333333,0.258001333333333,0.268012,0.256425333333333,0.210721333333333,0.227826666666666,0.247632,0.256010666666667,0.245949333333333,0.253605333333333,0.244973333333333,0.253242666666667,0.197110666666666,0.254257333333333,0.230172,0.246966666666667,0.265096,0.249289333333333,0.262906666666667,0.285162666666667,0.263217333333333,0.258024,0.251270666666667,0.260194666666667,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_4",0.625318666666667,0.451276,0.524033333333333,0.462228,0.284681333333333,0.324865333333333,0.305316,0.330985333333333,0.352828,0.38996,0.399804,0.366978666666667,0.495377333333334,0.304934666666667,0.361736,0.346513333333333,0.356432,0.351616,0.371162666666667,0.367464,0.377088,0.549322666666667,0.32356,0.542324,0.361034666666667,0.322233333333333,0.639185333333333,0.371148,0.476365333333333,0.457349333333333,0.386526666666667,0.349790666666667,0.362916,0.415589333333333,0.370713333333333,0.375428,0.384778666666667,0.392776,0.384917333333333,0.363670666666667,0.42564,0.499772,0.382842666666667,0.379918666666667,0.407088,0.393233333333333,0.385282666666667,0.468102666666667,0.558276,0.407389333333333,0.412345333333333,0.498116,0.381832,0.380508,0.44048,0.424642666666667,0.388344,0.386208,0.390970666666667,0.0338893333333333
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter;_1",0.113304,0.0914666666666667,0.0853946666666667,0.0432293333333333,0.047464,0.387053333333333,0.0863573333333333,0.63212,0.092672,0.1353,0.0919733333333333,0.117281333333333,0.0869493333333333,0.113648,0.103756,0.117801333333333,0.146848,0.140534666666667,0.143374666666667,0.121024,0.196192,0.078336,0.151570666666667,0.111208,0.156854666666667,0.0943586666666667,0.088616,0.11594,0.112641333333333,0.198652,0.142056,0.123182666666667,0.128133333333333,0.130978666666667,0.16404,0.166962666666667,0.152994666666667,0.145018666666667,0.159230666666667,0.100809333333333,0.444757333333333,0.203293333333333,0.132424,0.124472,0.162026666666667,0.139286666666667,0.141569333333333,0.161777333333333,0.165108,0.144388,0.140382666666667,0.309242666666667,0.228550666666667,0.164169333333333,0.173112,0.146824,0.151984,0.148052,0.145044,7.33333333333328e-05
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_2",0.736670666666667,0.623844,0.873844,0.892816,0.703030666666667,0.743090666666667,0.630366666666667,0.633593333333333,0.689256,0.662084,0.650489333333333,0.645645333333333,0.88974,0.661501333333333,0.661990666666667,0.650965333333333,0.656026666666667,0.641924,0.652916,0.66234,0.6508,0.616713333333333,0.698650666666667,0.644828,0.684865333333333,0.587252,0.624990666666667,0.636812,0.695981333333333,0.662222666666667,0.663348,0.705033333333333,0.647737333333333,0.646157333333333,0.660606666666667,0.667952,0.651998666666667,0.654313333333333,0.655856,0.676010666666667,0.645054666666667,0.643986666666667,0.650265333333333,0.660364,0.652456,0.658652,0.655825333333333,0.700482666666667,0.655402666666667,0.650809333333333,0.652024,0.653188,0.657346666666667,0.654028,0.6517,0.652306666666667,0.652316,0.652170666666667,0.65298,0.926938666666667
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_1",0.159702666666667,0.138553333333333,0.144897333333333,0.0553453333333333,0.060948,0.227234666666667,0.0958933333333333,0.729910666666667,0.114045333333333,0.194552,0.111854666666667,0.131782666666667,0.097936,0.128994666666667,0.129514666666667,0.130709333333333,0.170872,0.169116,0.161832,0.138509333333333,0.264424,0.112404,0.262649333333333,0.15174,0.199373333333333,0.0892546666666667,0.116893333333333,0.128842666666667,0.13388,0.211725333333333,0.157473333333333,0.186550666666667,0.188786666666667,0.188301333333333,0.255085333333333,0.232114666666667,0.205766666666667,0.188774666666667,0.199346666666667,0.12354,0.225598666666667,0.164804,0.155093333333333,0.149485333333333,0.168965333333333,0.163697333333333,0.16758,0.163298666666667,0.258284,0.162805333333333,0.171190666666667,0.424052,0.243806666666667,0.182102666666667,0.221437333333333,0.178821333333333,0.176764,0.175006666666667,0.17194,5.2e-05
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_6",0.24822,0.152,0.223302666666667,0.56804,0.132913333333333,0.136904,0.144750666666667,0.183210666666667,0.197004,0.292496,0.200394666666667,0.232521333333333,0.302072,0.132968,0.160234666666667,0.191384,0.164026666666667,0.165052,0.178864,0.174546666666667,0.180626666666667,0.122641333333333,0.174085333333333,0.158921333333333,0.171942666666667,0.164341333333333,0.166902666666667,0.165450666666667,0.172309333333333,0.304390666666667,0.481692,0.159030666666667,0.161933333333333,0.173466666666667,0.188413333333333,0.176390666666667,0.179085333333333,0.178953333333333,0.183676,0.178306666666667,0.183149333333333,0.184792,0.190770666666667,0.178368,0.185049333333333,0.182673333333333,0.185273333333333,0.163673333333333,0.206364,0.178214666666667,0.187130666666667,0.193146666666667,0.189473333333333,0.189542666666667,0.196933333333333,0.187604,0.186036,0.185538666666667,0.187254666666667,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Limnohabitans;_1",0.998274666666667,0.400801333333333,0.360717333333333,0.216984,0.816764000000001,0.325201333333333,0.357753333333333,0.347702666666667,0.717625333333333,0.423690666666667,0.404970666666666,0.300749333333333,0.317262666666667,0.457968,0.382661333333333,0.538978666666667,0.409406666666666,0.370705333333333,0.417730666666667,0.467250666666667,0.398788,0.43496,0.553205333333334,0.426226666666667,0.402516,0.260877333333333,0.718570666666667,0.340884,0.466902666666667,0.320465333333334,0.40134,0.36882,0.383592,0.388998666666667,0.406186666666667,0.427676,0.407082666666667,0.404149333333334,0.427376,0.521470666666666,0.425937333333333,0.448170666666667,0.426896,0.48956,0.429416,0.398609333333334,0.470988,0.400102666666667,0.507965333333333,0.398450666666667,0.413308,0.46076,0.409210666666667,0.417488,0.467882666666667,0.460094666666667,0.428096,0.431952,0.427574666666667,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_5",0.702665333333333,0.275364,0.28708,0.11938,0.173381333333333,0.201082666666667,0.232706666666667,0.281424,0.210896,0.354194666666667,0.169750666666667,0.187205333333333,0.163832,0.74868,0.320554666666667,0.232846666666667,0.267525333333333,0.264122666666667,0.262161333333333,0.261204,0.27642,0.995422666666667,0.320782666666667,0.257662666666667,0.279950666666667,0.201988,0.328137333333333,0.499496,0.317826666666667,0.191712,0.226410666666667,0.272474666666667,0.339849333333333,0.284753333333333,0.275952,0.2685,0.276366666666667,0.274230666666667,0.279649333333333,0.260468,0.262468,0.36036,0.270350666666667,0.267505333333333,0.304962666666667,0.300346666666667,0.281188,0.244552,0.335173333333333,0.282181333333333,0.314454666666667,0.265884,0.26574,0.276501333333333,0.302928,0.296454666666667,0.282686666666667,0.282778666666667,0.287601333333333,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Candidatus_Methylopumilus;_1",0.979424,0.839970666666667,0.982444,0.746133333333333,0.990712,0.801062666666667,0.795689333333333,0.829842666666667,0.722132,0.792956,0.858744,0.781932,0.706269333333333,0.74054,0.760824,0.778754666666667,0.761817333333333,0.762290666666667,0.74834,0.738485333333333,0.750798666666667,0.740722666666667,0.739381333333333,0.738824,0.750058666666667,0.893681333333333,0.720781333333333,0.746892,0.74354,0.735062666666667,0.755309333333333,0.745612,0.745684,0.74026,0.744509333333333,0.744978666666667,0.744962666666667,0.746104,0.745553333333333,0.746952,0.74474,0.742534666666667,0.745228,0.744604,0.745310666666667,0.746149333333333,0.747546666666667,0.724841333333333,0.740922666666667,0.742793333333333,0.7468,0.75888,0.748402666666667,0.745557333333333,0.747184,0.747294666666667,0.746613333333333,0.745436,0.747097333333333,1
