"","PIP.Mean","PIP.SD"
"Age1",0.268740448844885,0.247303016715879
"Age2",0.218083168316832,0.161589850796017
"LM",0.254219683168317,0.237753679449946
"Site",0.445001386138614,0.375361743967007
"Week1",0.26230402640264,0.260143076330237
"Week2",0.261589887788779,0.182794786282494
"Week3",0.244986877887789,0.176931184843899
"Week4",0.287040937293729,0.191865143440657
"Age1:LM",0.224283207920792,0.162660508921502
"Age2:LM",0.24142003960396,0.161123314470427
"Age1:Site",0.217956052805281,0.16712572831637
"Age2:Site",0.243292541254125,0.168706589474223
"LM:Site",0.230306336633663,0.181604146958368
"Age1:Week1",0.220407749174917,0.159618870382695
"Age2:Week1",0.241950257425743,0.167628554999412
"Age1:Week2",0.257853557755776,0.182894610426011
"Age2:Week2",0.23249696369637,0.147825831203209
"Age1:Week3",0.230384541254125,0.147660590869398
"Age2:Week3",0.235344739273927,0.148128144167914
"Age1:Week4",0.234621452145215,0.149598426454006
"Age2:Week4",0.238220607260726,0.145035175872157
"LM:Week1",0.228791221122112,0.180001853146141
"LM:Week2",0.22883404620462,0.154285698763596
"LM:Week3",0.229821623762376,0.151587194189202
"LM:Week4",0.229294759075908,0.146793379588077
"Site:Week1",0.235052844884488,0.208319236167632
"Site:Week2",0.267932633663366,0.201299325875128
"Site:Week3",0.244249768976898,0.172335604916465
"Site:Week4",0.240023735973597,0.155471602226633
"Age1:LM:Site",0.231994402640264,0.147461991915177
"Age2:LM:Site",0.234220541254125,0.151878534860364
"Age1:LM:Week1",0.228574455445545,0.150935233692716
"Age2:LM:Week1",0.227620937293729,0.14478406829182
"Age1:LM:Week2",0.231166125412541,0.146017186292595
"Age2:LM:Week2",0.234104514851485,0.145218386409799
"Age1:LM:Week3",0.233411775577558,0.146382778013514
"Age2:LM:Week3",0.233441927392739,0.144811543507765
"Age1:LM:Week4",0.233120594059406,0.145563545077098
"Age2:LM:Week4",0.233291128712871,0.145570165171171
"Age1:Site:Week1",0.23479098349835,0.160263301801077
"Age2:Site:Week1",0.239672844884488,0.146768176477809
"Age1:Site:Week2",0.238351458745875,0.150331582437009
"Age2:Site:Week2",0.233338917491749,0.146789982945033
"Age1:Site:Week3",0.232033056105611,0.148097153290347
"Age2:Site:Week3",0.23544,0.146573331806665
"Age1:Site:Week4",0.23716200660066,0.15082470133899
"Age2:Site:Week4",0.233522112211221,0.146648262934352
"LM:Site:Week1",0.254964514851485,0.171262504407393
"LM:Site:Week2",0.237022178217822,0.150918637369438
"LM:Site:Week3",0.245990085808581,0.156831688063171
"LM:Site:Week4",0.232445346534653,0.146432552537746
"Age1:LM:Site:Week1",0.241060132013201,0.146364272069382
"Age2:LM:Site:Week1",0.235015128712871,0.144174553641426
"Age1:LM:Site:Week2",0.234255062706271,0.145529642077182
"Age2:LM:Site:Week2",0.236068739273927,0.146024235215876
"Age1:LM:Site:Week3",0.234623920792079,0.146494671695209
"Age2:LM:Site:Week3",0.233320356435644,0.145615176606334
"Age1:LM:Site:Week4",0.233355260726073,0.145565569956693
"Age2:LM:Site:Week4",0.233073716171617,0.145861613904241
"Stratum",0.138612765676568,0.287522190854409
