"","Num_conv_gt_1.05","Num_conv_gt_1.1","Num_conv_gt_1.2","Num_conv_gt_1.5","Num_conv_gt_2","Num_params"
"Fungi",0,0,0,0,0,60
"Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;Rhizophydiales_fam_Incertae_sedis;Batrachochytrium;dendrobatidis",1,1,0,0,0,60
"Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium;slooffiae",1,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;victoriae",1,0,0,0,0,60
"Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Candida;sake",59,27,1,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Mycosphaerella;tassiana",0,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;diffluens",0,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Cryptococcus;uniguttulatus",0,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales",0,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;tephrensis",0,0,0,0,0,60
"Fungi;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis;pinicola",0,0,0,0,0,60
"Fungi;Ascomycota",3,0,0,0,0,60
"Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Sarocladium;bactrocephalum",3,1,0,0,0,60
"Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus",1,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Thelebolus;spongiae",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Epicoccum;dendrobii",1,0,0,0,0,60
"Fungi;Basidiomycota",0,0,0,0,0,60
"Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetales_fam_Incertae_sedis;Resinicium;bicolor",48,1,0,0,0,60
"Fungi;Ascomycota;Sordariomycetes;Myrmecridiales;Myrmecridiaceae;Myrmecridium;schulzeri",0,0,0,0,0,60
"Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Cantharellales_fam_Incertae_sedis;Sistotrema;autumnale",60,2,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Meristemomyces;frigidus",1,1,1,0,0,60
"Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces",2,2,0,0,0,60
"Fungi;Chytridiomycota",0,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Coleophoma",0,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Ramularia",0,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Pseudeurotium;bakeri",0,0,0,0,0,60
"Fungi;Ascomycota;Arthoniomycetes;Lichenostigmatales;Phaeococcomycetaceae;Phaeococcomyces",0,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Spirosphaera;carici-graminis",1,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis;caroliniana",0,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Cryptococcus",0,0,0,0,0,60
"Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Udeniomyces;puniceus",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;delicatulum",0,0,0,0,0,60
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium",1,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Thelebolus",12,0,0,0,0,60
"Fungi;Ascomycota;Sordariomycetes;Xylariales;Amphisphaeriaceae;Polyscytalum;pustulans",60,60,60,60,2,60
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Phaeosphaeria;tofieldiae",0,0,0,0,0,60
"Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae",0,0,0,0,0,60
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Tetracladium",0,0,0,0,0,60
