"","Age1","Age2","LM","Site","Week1","Week2","Week3","Week4","Age1:LM","Age2:LM","Age1:Site","Age2:Site","LM:Site","Age1:Week1","Age2:Week1","Age1:Week2","Age2:Week2","Age1:Week3","Age2:Week3","Age1:Week4","Age2:Week4","LM:Week1","LM:Week2","LM:Week3","LM:Week4","Site:Week1","Site:Week2","Site:Week3","Site:Week4","Age1:LM:Site","Age2:LM:Site","Age1:LM:Week1","Age2:LM:Week1","Age1:LM:Week2","Age2:LM:Week2","Age1:LM:Week3","Age2:LM:Week3","Age1:LM:Week4","Age2:LM:Week4","Age1:Site:Week1","Age2:Site:Week1","Age1:Site:Week2","Age2:Site:Week2","Age1:Site:Week3","Age2:Site:Week3","Age1:Site:Week4","Age2:Site:Week4","LM:Site:Week1","LM:Site:Week2","LM:Site:Week3","LM:Site:Week4","Age1:LM:Site:Week1","Age2:LM:Site:Week1","Age1:LM:Site:Week2","Age2:LM:Site:Week2","Age1:LM:Site:Week3","Age2:LM:Site:Week3","Age1:LM:Site:Week4","Age2:LM:Site:Week4","Stratum"
"Fungi",0.142112,0.132761333333333,0.118232,0.149785333333333,0.124829333333333,0.181617333333333,0.143928,0.190616,0.129836,0.134384,0.127329333333333,0.136345333333333,0.126842666666667,0.165782666666667,0.134950666666667,0.134448,0.148682666666667,0.15734,0.136409333333333,0.138344,0.143366666666667,0.12646,0.137312,0.134766666666667,0.136304,0.130548,0.133866666666667,0.140086666666667,0.136064,0.134688,0.135693333333333,0.13628,0.135310666666667,0.135608,0.138298666666667,0.137357333333333,0.136673333333333,0.137033333333333,0.137829333333333,0.135962666666667,0.136093333333333,0.135596,0.137232,0.13636,0.136994666666667,0.136784,0.137166666666667,0.14696,0.137241333333333,0.140829333333333,0.139298666666667,0.136490666666667,0.137396,0.137685333333333,0.136994666666667,0.138312,0.137434666666667,0.137658666666667,0.137269333333333,0.300650666666667
"Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;Rhizophydiales_fam_Incertae_sedis;Batrachochytrium;dendrobatidis",0.500205333333333,0.488817333333333,0.844697333333333,0.953006666666667,0.256198666666667,0.536665333333333,0.391810666666667,0.544828,0.384549333333333,0.41682,0.35862,0.395096,0.365501333333333,0.536692,0.398686666666667,0.422473333333333,0.427082666666667,0.437310666666667,0.425778666666667,0.423266666666667,0.427202666666667,0.598194666666667,0.716302666666667,0.479681333333333,0.459645333333333,0.423704,0.454428,0.427038666666667,0.443842666666667,0.401336,0.416238666666667,0.399885333333333,0.414357333333333,0.426973333333333,0.424774666666667,0.422445333333333,0.424601333333333,0.423902666666667,0.426124,0.3957,0.407881333333333,0.40902,0.416888,0.414910666666667,0.421690666666667,0.422008,0.42344,0.384197333333333,0.414876,0.421789333333333,0.425366666666667,0.414830666666667,0.416293333333333,0.418608,0.424544,0.424912,0.424598666666667,0.425482666666667,0.42614,0.008
"Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium;slooffiae",0.79834,0.242990666666667,0.216248,0.16022,0.209225333333333,0.39562,0.215,0.3966,0.319610666666667,0.332953333333333,0.171246666666667,0.213246666666667,0.182986666666667,0.281022666666667,0.245132,0.243157333333333,0.280593333333333,0.330745333333333,0.253213333333333,0.245284,0.291605333333333,0.200617333333333,0.398018666666667,0.223942666666667,0.301204,0.16556,0.259586666666667,0.249558666666667,0.250161333333333,0.203641333333333,0.236185333333333,0.335154666666667,0.237072,0.237494666666667,0.332837333333333,0.337144,0.251597333333333,0.248601333333333,0.266614666666667,0.220584,0.226038666666667,0.228865333333333,0.243305333333333,0.243262666666667,0.249238666666667,0.253829333333333,0.250946666666667,0.242086666666667,0.235805333333333,0.281737333333333,0.25998,0.236545333333333,0.242844,0.252209333333333,0.251432,0.261164,0.252596,0.259794666666667,0.255706666666667,0.010164
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;victoriae",0.259917333333333,0.269650666666667,0.240378666666667,0.503289333333333,0.149749333333333,0.170248,0.215489333333333,0.20304,0.370236,0.241554666666667,0.162497333333333,0.318201333333333,0.16938,0.223185333333333,0.273318666666667,0.24248,0.220590666666667,0.217273333333333,0.248205333333333,0.259658666666667,0.229265333333333,0.512173333333333,0.197792,0.240324,0.218373333333333,0.157529333333333,0.450949333333333,0.202516,0.244568,0.216026666666667,0.211126666666667,0.211082666666667,0.272733333333333,0.240452,0.227366666666667,0.224756,0.230714666666667,0.229152,0.230806666666667,0.321569333333333,0.21252,0.2114,0.235293333333333,0.231142666666667,0.225837333333333,0.22516,0.230941333333333,0.206026666666667,0.211205333333333,0.240686666666667,0.224150666666667,0.217241333333333,0.226670666666667,0.228554666666667,0.22782,0.228198666666667,0.230222666666667,0.23274,0.231109333333333,0.00350933333333333
"Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Candida;sake",0.21258,0.176654666666667,0.201982666666667,0.156276,0.153049333333333,0.287302666666667,0.180092,0.324898666666667,0.255285333333333,0.217288,0.175349333333333,0.179613333333333,0.20844,0.192116,0.181832,0.184269333333333,0.202144,0.209516,0.188998666666667,0.186634666666667,0.205161333333333,0.176246666666667,0.219416,0.182912,0.195526666666667,0.172072,0.18252,0.188893333333333,0.186789333333333,0.177894666666667,0.205445333333333,0.186921333333333,0.188490666666667,0.188136,0.194925333333333,0.199754666666667,0.191041333333333,0.190957333333333,0.193458666666667,0.182154666666667,0.184776,0.183434666666667,0.18968,0.188924,0.189630666666667,0.189873333333333,0.190517333333333,0.189954666666667,0.216469333333333,0.196988,0.230406666666667,0.197873333333333,0.188088,0.188898666666667,0.19442,0.200449333333333,0.19092,0.191001333333333,0.193341333333333,0.303412
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Mycosphaerella;tassiana",0.220492,0.147046666666667,0.113369333333333,0.243592,0.112438666666667,0.260309333333333,0.136224,0.175036,0.126510666666667,0.178417333333333,0.108036,0.135458666666667,0.104525333333333,0.387518666666667,0.1411,0.135416,0.244893333333333,0.164798666666667,0.152628,0.153898666666667,0.161996,0.129665333333333,0.129164,0.147749333333333,0.149897333333333,0.138985333333333,0.480557333333333,0.160314666666667,0.190869333333333,0.129737333333333,0.1365,0.138609333333333,0.159273333333333,0.15938,0.152597333333333,0.150670666666667,0.155602666666667,0.154441333333333,0.156226666666667,0.152630666666667,0.140334666666667,0.145193333333333,0.157265333333333,0.158057333333333,0.152390666666667,0.156681333333333,0.1561,0.135161333333333,0.142533333333333,0.148414666666667,0.151472,0.140990666666667,0.148892,0.1488,0.151925333333333,0.15228,0.153562666666667,0.153536,0.155336,0.00812533333333333
"Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;diffluens",0.0305893333333333,0.0178693333333333,0.0184053333333333,0.016828,0.0172413333333333,0.0206866666666667,0.017732,0.0226213333333333,0.0190773333333333,0.0190266666666667,0.015912,0.0173613333333333,0.0165893333333333,0.0166373333333333,0.0208266666666667,0.02024,0.0178426666666667,0.0182466666666667,0.0189213333333333,0.0189466666666667,0.0181946666666667,0.0190146666666667,0.0176413333333333,0.0178373333333333,0.018012,0.0183346666666667,0.017272,0.018776,0.017288,0.0185493333333333,0.01774,0.0176933333333333,0.0180453333333333,0.018244,0.018148,0.017944,0.018308,0.0182213333333333,0.0179853333333333,0.0174613333333333,0.0176706666666667,0.017752,0.018024,0.0178093333333333,0.0180533333333333,0.0182173333333333,0.0181613333333333,0.0287386666666667,0.0176066666666667,0.0224986666666667,0.0181413333333333,0.01774,0.018392,0.0186426666666667,0.0179426666666667,0.0183613333333333,0.0183893333333333,0.018652,0.0181586666666667,0.010584
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Cryptococcus;uniguttulatus",0.959790666666667,0.215957333333333,0.199029333333333,0.210817333333333,0.242132,0.21292,0.214848,0.220582666666667,0.22192,0.232496,0.20054,0.221853333333333,0.200068,0.214536,0.242174666666667,0.229637333333333,0.229210666666667,0.225388,0.232338666666667,0.22878,0.233472,0.270257333333333,0.220377333333333,0.251674666666667,0.231046666666667,0.200852,0.243449333333333,0.222746666666667,0.236548,0.230809333333333,0.224925333333333,0.230153333333333,0.231434666666667,0.234890666666667,0.236976,0.238050666666667,0.235488,0.234870666666667,0.236342666666667,0.237498666666667,0.227061333333333,0.228088,0.235052,0.237334666666667,0.233022666666667,0.233089333333333,0.236030666666667,0.247654666666667,0.225466666666667,0.242273333333333,0.233170666666667,0.228669333333333,0.2322,0.233434666666667,0.234865333333333,0.23474,0.235293333333333,0.234616,0.235718666666667,0.281788
"Fungi;Ascomycota;Leotiomycetes;Helotiales",0.154781333333333,0.241510666666667,0.229102666666667,0.103649333333333,0.532242666666667,0.131312,0.478694666666667,0.150382666666667,0.182318666666667,0.176373333333333,0.202937333333333,0.143758666666667,0.136514666666667,0.151744,0.171556,0.174672,0.164632,0.160324,0.171849333333333,0.178725333333333,0.169253333333333,0.166844,0.171724,0.164792,0.167073333333333,0.137033333333333,0.202744,0.156004,0.215856,0.146661333333333,0.168716,0.167984,0.171994666666667,0.166602666666667,0.171338666666667,0.169562666666667,0.171197333333333,0.169984,0.172170666666667,0.151378666666667,0.163856,0.161165333333333,0.168001333333333,0.169617333333333,0.169489333333333,0.168956,0.172654666666667,0.147181333333333,0.194858666666667,0.164890666666667,0.1847,0.165472,0.16604,0.16684,0.16996,0.170706666666667,0.172089333333333,0.172184,0.172182666666667,0.0263946666666667
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;tephrensis",0.0577533333333333,0.086992,0.0575946666666667,0.063896,0.05904,0.0626533333333334,0.0646013333333334,0.0661413333333333,0.132508,0.0669693333333333,0.0642693333333334,0.0712613333333333,0.0615693333333333,0.0701453333333334,0.0676333333333333,0.0662546666666667,0.0693106666666666,0.0685586666666667,0.0692693333333333,0.0687746666666667,0.0696013333333333,0.164253333333333,0.0672573333333334,0.0823106666666667,0.0696826666666667,0.0624,0.0769973333333333,0.0686186666666667,0.0742693333333334,0.0678586666666667,0.067896,0.0674306666666667,0.0725933333333334,0.0735066666666667,0.0695453333333333,0.070248,0.0701626666666667,0.0709826666666667,0.0702373333333333,0.0717466666666667,0.0692386666666667,0.0694306666666667,0.0700586666666666,0.0707693333333334,0.0702853333333334,0.0703573333333333,0.069752,0.067612,0.0676693333333333,0.069452,0.0693733333333334,0.0684413333333333,0.0695226666666667,0.0697826666666666,0.0697986666666667,0.070028,0.0705146666666667,0.0697173333333333,0.0700573333333333,0.0977413333333333
