"","Inhibitory","NonInhibitory","Uncertain"
"G1_11",559,24,10094
"G1_12",279,13,7428
"G1_13",85,4,349
"G1_15",105,12,1523
"G1_21",81340,21,95461
"G1_22",977,12,12972
"G1_23",366,1,3744
"G1_24",3661,60,23997
"G1_25",8631,31,18253
"G1_26",753,29,2413
"G1_28",2159,23,10043
"G1_31",252,7,6555
"G1_32",45,7,3087
"G1_33",136,49,8879
"G1_34",174,23,1327
"G1_35",756,93,19166
"G1_36",524,59,37636
"G1_37",1257,530,9040
"G1_38",706,60,22486
"G1_41",307,81,8837
"G1_42",346,187,15787
"G1_43",1176,221,11189
"G1_44",547,27,8331
"G1_45",709,16,12029
"G1_46",426,21,24268
"G2_21",309,18,2184
"G2_41",3167,198,3116
"G2_42",5945,129,7430
"G2_43",1240,114,35791
"G3_11",346,5,13819
"G3_12",414,20,10482
"G4_11",210,16,7231
"G4_12",125,7,68318
"G4_13",120,3,37139
"G4_14",78,7,12186
"G4_21",390,82,48866
"G4_22",2233,5237,62226
"G4_23",67,30,4422
"G4_24",165,96,32160
"G4_25",219,104,34137
"G4_31",232,8,142853
"G4_32",118,1,5267
"G4_33",98,27,1606
"G4_34",222,12,8178
"G4_35",78,19,17683
"G4_41",174,37,6459
"G4_42",407,11,8005
"G4_43",2837,2498,76392
"G4_44",141,28,1345
"G5_11",193,23,3070
"G5_12",455,17,2679
"G5_13",227,14,39082
"G5_14",471,14,5552
"G5_15",186,25,76920
"G5_21",263,6,30060
"G5_22",52,4,129762
"G5_23",139,3,18679
"G5_24",415,36,39259
"G5_25",158,11,40893
"G5_31",225,40,25584
"G5_32",770,51,6012
"G5_33",250,48,108909
"G5_34",63,9,74242
"G5_35",90,19,17751
"G5_41",289,42,2432
"G6_11",213,10,9199
"G6_12",295,17,28829
"G6_21",430,33,3689
"G6_22",439,124,9802
"G6_24",265,18,6146
"G6_31",72,10,81374
"G6_32",78,47,8111
"G6_33",111,280,4308
"G6_34",57,1151,19398
"G6_35",53,59,2520
"G6_41",116,13,3075
"G6_42",344,3,1597
"G6_43",132,213,933
"G7_21",130,6,868
"G7_22",377,7,1733
"G7_31",61,7,872
"G7_32",142,12,1306
"P1_11",227,13,68551
"P1_12",219,14,64620
"P1_13",191,17,20365
"P1_14",11,1,1056
"P1_15",394,4,284
"P1_16",295,6,573
"P1_17",288,16,5565
"P1_21",402,27,17967
"P1_22",110,2,16565
"P1_23",325,5,67727
"P1_24",790,28,40503
"P1_25",11729,4,20995
"P1_31",285,21,10813
"P1_32",40,28,2380
"P1_33",15,5,6878
"P1_34",61,6,3961
"P1_35",2550,9671,14915
"P1_36",382,866,95664
"P1_37",369,89,6780
"P1_38",276,265,6553
"P1_41",156,18,86360
"P1_42",356,21,10570
"P1_43",131,13,4045
"P1_44",173,22,26314
"P1_45",225,2,2770
"P1_51",381,30,1686
"P1_52",9172,27053,2289
"P1_53",570,210,22608
"P1_54",1030,2658,7147
"P1_55",1551,14,11857
"P2_11",324,18,10702
"P2_12",176,39,1191
"P2_13",471,15,14362
"P2_14",308,7,5468
"P2_15",264,14,2127
"P2_16",175,10,2376
"P2_21",317,50,4206
"P2_22",993,57,31784
"P2_23",620,21,5521
"P2_25",1128,30,42441
"P2_26",1804,28,45611
"P2_31",435,22,20203
"P2_32",208,9,1009
"P2_33",526,94,62298
"P2_35",219,8,939
"P2_36",107,6,1519
"P2_37",584,7,11413
"P2_41",499,20,5728
"P2_42",254,12,82635
"P2_43",306,11,8695
"P2_44",354,11,4167
"P2_45",580,24,5125
"P2_46",182,5,5777
"P2_51",232,25,6135
"P2_52",686,72,48177
"P2_53",163,24,15857
"P2_54",55,12,1672
"P2_55",117,16,1928
"P3_21",453,31,1810
"P3_22",455,11,3782
"P3_31",266,105,21502
"P3_32",73,10,1052
"P3_41",89,4,632
"P3_51",107,91,655
"P4_11",674,34,3112
"P4_31",484,21,25331
"P4_41",678,339,56340
"P4_42",974,75,16044
"P4_51",222,14,23896
"P4_53",112,6,6464
"P4_54",64,4,19900
"P4_55",209,333,4966
"P4_56",337,24,13798
"P5_11",74,6,1736
"P5_12",56,4,1179
"P5_14",361,30,14883
"P5_31",86,6,5200
"P5_32",58,44,439
"P5_33",206,63,16065
"P5_34",244,57,60474
"P5_41",1149,38,6007
"P5_51",195,7,1416
"P5_52",219,13,7770
"P5_53",16,1,1010
"P5_54",770,22,30993
"P6_11",158,30,2962
"P6_12",144,27,2799
"P6_13",145,1,669
"P6_14",56,8,4345
"P6_21",164,9,3049
"P6_22",138,8,6190
"P6_41",253,42,1210
"P6_51",338,61,16144
"P6_52",319,27,1055
"P6_53",226,22,5542
"P6_54",246,21,517
"P7_11",27,2,748
"P7_12",136,4,354
"P7_13",73,3,1379
"P7_14",124,6,2159
"P7_21",98,12,540
"P7_22",96,11,7003
"P7_31",32,10,4351
"P7_32",67,7,3582
"P7_33",175,17,3136
"P7_34",682,53,14838
"P7_51",384,14,2378
"P7_52",161,11,3832
"P7_53",87,7,272
"P7_54",224,3,5926
"P7_55",107,24,874
"P7_56",341,11,5997
