"","Inhibitory","NonInhibitory","Uncertain"
"G1_1S",2131,14,34088
"G1_2S",71,0,48197
"G1_3S",955,218,70414
"G1_4S",1548,52,61581
"G2_1S",2345,2,66716
"G2_2S",382,1,96098
"G2_3S",417,1,54822
"G2_4S",1191,3,77611
"G3_1S",2993,4,65654
"G3_2S",1240,1,92080
"G3_3S",1161,0,82964
"G3_4S",1316,104,74300
"G4_1S",1284,0,129531
"G4_2S",1394,0,159179
"G4_3S",913,1,73952
"G4_4S",326,4,86533
"G5_1S",780,0,72148
"G5_2S",778,0,74648
"G5_3S",16,0,2366
"G5_4S",1486,1,111290
"G6_1S",787,5,103017
"G6_2S",236,1,98398
"G6_3S",160,2,143881
"G6_4S",1452,0,142748
"G7_1S",422,2,54029
"G7_2S",34,0,67264
"G7_3S",49,0,77554
"G7_4S",380,55,130309
"G8_1S",54,0,71503
"G8_2S",112,1,111366
"G8_3S",40,3,101819
"G8_4S",62,1,102778
"P1_1S",68,4,65288
"P1_2S",115,3,85580
"P1_3S",8,1,44005
"P1_4S",118,1,38813
"P1_5S",1174,1,49819
"P2_1S",30,0,57723
"P2_2S",72,5,55449
"P2_3S",144,22,118655
"P2_4S",13,2,130447
"P2_5S",162,0,42051
"P3_1S",62,0,90708
"P3_2S",168,5,110412
"P3_3S",17,0,96435
"P3_4S",110,1,131890
"P3_5S",98,0,65312
"P4_1S",14,2,25951
"P4_2S",146,3,58944
"P4_3S",35,4,56111
"P4_4S",42,0,95408
"P4_5S",1248,1,116794
"P5_1S",39,18,64122
"P5_2S",268,7,69999
"P5_3S",28,6,116395
"P5_4S",297,113,115697
"P5_5S",1207,2,139854
"P6_1S",27,2,110164
"P6_2S",178,1,108713
"P6_3S",27,28,156025
"P6_4S",193,14,99563
"P6_5S",577,1,100296
"P7_1S",69,6,181443
"P7_2S",190,3,125737
"P7_3S",3,0,38664
"P7_4S",103,7,42168
"P7_5S",227,1,38004
