"","Inhibitory","NonInhibitory","Uncertain"
"G1_2W",18,1817,90489
"G1_3W",19,2862,89866
"G1_4W",33,4506,216460
"G2_1W",166,2739,207798
"G2_2W",43,1328,120731
"G2_3W",46,888,68596
"G2_4W",22,57,29981
"G4_1W",105,120,223175
"G4_2W",130,143,150453
"G4_3W",49,509,97225
"G4_4W",19,25,112171
"G5_1W",17,479,81026
"G5_2W",0,0,843
"G5_3W",497,11779,109208
"G5_4W",70,1306,148095
"G6_1W",5319,1145,199042
"G6_2W",30,5540,58058
"G6_3W",233,1735,69636
"G6_4W",39,2104,79565
"G7_1W",51,5748,232399
"G7_2W",238,29354,118804
"G7_3W",99,41795,158917
"G7_4W",91,48225,200007
"G8_1W",77,16907,213291
"G8_2W",174,6427,162193
"G8_3W",487,22459,190203
"G8_4W",167,13121,157824
"P1_1W",78,18,99453
"P1_2W",25,7,56910
"P1_3W",27,6,49378
"P1_4W",30,23,109067
"P1_5W",62,106,162558
"P2_1W",8,18,70661
"P2_2W",33,66,153397
"P2_3W",22,75,161163
"P2_4W",37,76,119296
"P2_5W",56,333,112220
"P3_1W",20,21,45502
"P3_2W",25,18,46843
"P3_3W",38,40,61701
"P3_5W",287,32,91139
"P4_1W",59,48,126858
"P4_2W",107,105,207773
"P4_3W",73,145,191546
"P4_4W",0,0,436
"P4_5W",176,65,148739
"P5_1W",231,98,136505
"P5_2W",92,47,103915
"P5_3W",36,48,174840
"P5_4W",40,54,127665
"P5_5W",96,65,122287
"P6_1W",113,131,119976
"P6_2W",60,38,126172
"P6_3W",175,107,134862
"P6_4W",75,58,138282
"P6_5W",185,216,194222
"P7_1W",0,3,707
"P7_3W",22,66,118713
"P7_4W",26,59,160427
"P7_5W",41,25,235566
