"Set","Model","Stratum","Site","Week1","Week2","Site:Week1","Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"1","1",1,1,1,1,1,1,0,0,1393,"0 hrs, 22 min, 5 sec",44329.3112165088
"2","1",1,1,1,1,1,0,0,0,1306,"0 hrs, 22 min, 10 sec",44358.310901429
"2","2",1,1,1,1,0,1,4,0,1306,"0 hrs, 23 min, 8 sec",44527.6203799733
"2","3",1,1,1,0,1,1,19,21,1306,"0 hrs, 21 min, 26 sec",44272.9209981165
"2","4",1,1,0,1,1,1,0,6,1306,"0 hrs, 22 min, 34 sec",44521.2665622094
"2","5",1,0,1,1,1,1,0,0,1306,"0 hrs, 23 min, 28 sec",44439.7835042039
"2","6",0,1,1,1,1,1,0,0,524,"0 hrs, 18 min, 36 sec",44387.9007780218
"3","1",1,1,1,0,1,0,0,0,1219,"0 hrs, 22 min, 10 sec",44596.4468320702
"3","2",1,1,1,0,0,1,17,17,1219,"0 hrs, 25 min, 26 sec",44420.0147871875
"3","3",1,1,0,0,1,1,7,9,1219,"0 hrs, 22 min, 38 sec",44459.7110685675
"3","4",1,0,1,0,1,1,0,0,1219,"0 hrs, 23 min, 16 sec",44372.9522142183
"3","5",0,1,1,0,1,1,0,0,437,"0 hrs, 15 min, 52 sec",44325.5573455741
"End","Best",1,1,1,0,1,1,19,21,1306,"0 hrs, 21 min, 26 sec",44272.9209981165
