"Num_Predictors","Best","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
24,"No",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3435,"6 hrs, 45 min, 5 sec",121624.939061073
23,"No",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2426,"5 hrs, 33 min, 26 sec",121521.555491805
22,"No",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"5 hrs, 16 min, 14 sec",121460.780976728
21,"No",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2224,"3 hrs, 52 min, 15 sec",121409.327423971
20,"No",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 49 min, 26 sec",121360.473370662
19,"No",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 36 min, 10 sec",121309.474392763
18,"No",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1921,"3 hrs, 34 min, 48 sec",121307.377308196
17,"No",0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 33 min, 12 sec",121286.998130695
16,"No",0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1719,"3 hrs, 21 min, 51 sec",121259.341579408
15,"No",0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1618,"2 hrs, 59 min, 53 sec",121224.665373011
14,"No",0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,2,1517,"2 hrs, 39 min, 12 sec",121169.177071263
13,"No",0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1416,"2 hrs, 22 min, 22 sec",121134.821552741
12,"No",0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1315,"2 hrs, 15 min, 3 sec",121046.690305426
11,"No",0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1214,"2 hrs, 13 min, 17 sec",121042.274277559
10,"No",0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1113,"2 hrs, 10 min, 14 sec",120978.224447671
9,"No",0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1012,"2 hrs, 8 min, 11 sec",120905.708900841
8,"No",0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,911,"1 hrs, 56 min, 36 sec",120838.582266466
7,"No",0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,5,810,"1 hrs, 57 min, 24 sec",120794.952846227
6,"No",0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,100,101,709,"1 hrs, 59 min, 20 sec",120749.483470123
5,"No",0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,11,608,"1 hrs, 36 min, 48 sec",120662.089034479
4,"Yes",0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,46,66,507,"1 hrs, 39 min, 41 sec",120600.201167107
3,"No",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,51,406,"1 hrs, 31 min, 54 sec",120606.300553042
