"Set","Model","Stratum","Site","Week1","Week2","Site:Week1","Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"1","1",1,1,1,1,1,1,0,0,1473,"0 hrs, 55 min, 25 sec",51924.2117364502
"2","1",1,1,1,1,1,0,92,98,1381,"0 hrs, 48 min, 24 sec",51949.7783909821
"2","2",1,1,1,1,0,1,0,5,1381,"0 hrs, 50 min, 40 sec",52226.7956134849
"2","3",1,1,1,0,1,1,0,3,1381,"0 hrs, 51 min, 59 sec",51658.4089684604
"2","4",1,1,0,1,1,1,2,7,1381,"0 hrs, 49 min, 17 sec",52179.9769174498
"2","5",1,0,1,1,1,1,4,13,1381,"0 hrs, 48 min, 57 sec",51887.6759383669
"2","6",0,1,1,1,1,1,2,1,554,"0 hrs, 40 min, 41 sec",52528.5948308292
"3","1",1,1,1,0,1,0,23,98,1289,"0 hrs, 48 min, 55 sec",51752.0021794998
"3","2",1,1,1,0,0,1,101,98,1289,"0 hrs, 47 min, 58 sec",52037.7455530261
"3","3",1,1,0,0,1,1,92,92,1289,"0 hrs, 46 min, 15 sec",52013.1775214488
"3","4",1,0,1,0,1,1,3,91,1289,"0 hrs, 49 min, 17 sec",51644.7746801494
"3","5",0,1,1,0,1,1,3,24,462,"0 hrs, 36 min, 40 sec",52451.9789863903
"4","1",1,0,1,0,1,0,0,97,1197,"0 hrs, 44 min, 39 sec",51735.023321619
"4","2",1,0,1,0,0,1,89,82,1197,"0 hrs, 43 min, 32 sec",52031.13859252
"4","3",1,0,0,0,1,1,87,92,1197,"0 hrs, 43 min, 13 sec",51976.6890483548
"4","4",0,0,1,0,1,1,1,92,370,"0 hrs, 36 min, 39 sec",52532.7694018334
"End","Best",1,0,1,0,1,1,3,91,1289,"0 hrs, 49 min, 17 sec",51644.7746801494
