"Set","Model","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,103,"0 hrs, 9 min, 10 sec",5005.00917241149
"2","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,100,"0 hrs, 8 min, 6 sec",5006.08647465643
"2","2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,100,"0 hrs, 8 min, 24 sec",5002.97397902648
"2","3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,100,"0 hrs, 8 min, 13 sec",5003.60148279881
"2","4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,100,"0 hrs, 8 min, 21 sec",5005.25810685526
"2","5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,100,"0 hrs, 8 min, 11 sec",5003.75335353451
"2","6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 18 sec",5005.74873367603
"2","7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 17 sec",5005.89881863136
"2","8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 33 sec",5003.75227534486
"2","9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 17 sec",5004.21971507942
"2","10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 17 sec",5003.66576781209
"2","11",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 17 sec",5005.20770681518
"2","12",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 9 sec",5004.28494430251
"2","13",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 19 sec",5005.55314244126
"2","14",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 11 sec",5004.11037524666
"2","15",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 13 sec",5002.90806536391
"2","16",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 15 sec",5003.62381307361
"2","17",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 21 sec",5004.12871123218
"2","18",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 25 sec",5008.29154621341
"2","19",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 23 sec",5004.98073791535
"2","20",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 16 sec",5005.4730210646
"2","21",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,"0 hrs, 8 min, 14 sec",5004.98534478761
