"Set","Model","Stratum","Site","Week1","Week2","Site:Week1","Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"1","1",1,1,1,1,1,1,0,0,49,"0 hrs, 3 min, 7 sec",1676.12981153275
"2","1",1,1,1,1,1,0,0,0,46,"0 hrs, 1 min, 59 sec",1678.80560871221
"2","2",1,1,1,1,0,1,0,0,46,"0 hrs, 2 min, 1 sec",1681.74393990166
"2","3",1,1,1,0,1,1,0,0,46,"0 hrs, 1 min, 59 sec",1675.09324108883
"2","4",1,1,0,1,1,1,0,0,46,"0 hrs, 2 min, 4 sec",1679.93238976171
"2","5",1,0,1,1,1,1,0,0,46,"0 hrs, 2 min, 3 sec",1681.03218826218
"2","6",0,1,1,1,1,1,0,0,20,"0 hrs, 2 min, 59 sec",1674.63648958076
"3","1",0,1,1,1,1,0,0,0,17,"0 hrs, 1 min, 47 sec",1677.48449458617
"3","2",0,1,1,1,0,1,0,0,17,"0 hrs, 1 min, 47 sec",1678.81220807152
"3","3",0,1,1,0,1,1,0,0,17,"0 hrs, 1 min, 50 sec",1673.20571520263
"3","4",0,1,0,1,1,1,0,0,17,"0 hrs, 1 min, 47 sec",1677.59560315185
"3","5",0,0,1,1,1,1,0,0,17,"0 hrs, 1 min, 43 sec",1681.93625673861
"4","1",0,1,1,0,1,0,0,0,14,"0 hrs, 1 min, 34 sec",1681.91538044838
"4","2",0,1,1,0,0,1,0,0,14,"0 hrs, 1 min, 55 sec",1679.5583346632
"4","3",0,1,0,0,1,1,0,0,14,"0 hrs, 1 min, 48 sec",1675.48045954929
"4","4",0,0,1,0,1,1,0,0,14,"0 hrs, 1 min, 49 sec",1679.32052792689
"End","Best",0,1,1,0,1,1,0,0,17,"0 hrs, 1 min, 50 sec",1673.20571520263
