"Set","Model","Stratum","Site","Week1","Week2","Site:Week1","Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"1","1",1,1,1,1,1,1,0,0,49,"0 hrs, 3 min, 18 sec",1400.55706870818
"2","1",1,1,1,1,1,0,0,0,46,"0 hrs, 2 min, 8 sec",1399.28691470265
"2","2",1,1,1,1,0,1,0,0,46,"0 hrs, 2 min, 8 sec",1424.60878906538
"2","3",1,1,1,0,1,1,0,0,46,"0 hrs, 2 min, 12 sec",1391.68096359865
"2","4",1,1,0,1,1,1,0,0,46,"0 hrs, 2 min, 12 sec",1424.10829109959
"2","5",1,0,1,1,1,1,0,0,46,"0 hrs, 2 min, 6 sec",1399.36343034566
"2","6",0,1,1,1,1,1,0,0,20,"0 hrs, 3 min, 5 sec",1451.8269490051
"3","1",1,1,1,0,1,0,0,0,43,"0 hrs, 2 min, 4 sec",1396.71578764439
"3","2",1,1,1,0,0,1,0,0,43,"0 hrs, 2 min, 5 sec",1421.47001726726
"3","3",1,1,0,0,1,1,0,0,43,"0 hrs, 2 min, 9 sec",1422.24964249534
"3","4",1,0,1,0,1,1,0,0,43,"0 hrs, 2 min, 8 sec",1392.57599194231
"3","5",0,1,1,0,1,1,0,0,17,"0 hrs, 1 min, 54 sec",1449.02701979913
"End","Best",1,1,1,0,1,1,0,0,46,"0 hrs, 2 min, 12 sec",1391.68096359865
