"Date","Site","Age","LM","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene",10.1977302558684,10.8511303717306,11.2693730757978,11.6412607051811,12.3330041369372
"2018-06-16","Gibson Lakes","Age-1","Metamorphosed",7.3556496153101,7.81420233006832,8.07128841111856,8.34828215802347,8.91100094987526
"2018-06-16","Gibson Lakes","Age-2+","Metamorphosed",6.71875511004201,7.10812087049254,7.33522644657236,7.59574239996674,8.08596234048767
"2018-06-23","Ponds Lake","Age-1","Larvae/Neotene",8.99641775173681,9.38332241013405,9.60027987743514,9.85180761705737,10.3025758931994
"2018-06-23","Ponds Lake","Age-2+","Larvae/Neotene",8.24197554258902,8.79382228701899,9.09581776686684,9.44873641851432,10.1449139856492
"2018-06-23","Ponds Lake","Age-2+","Metamorphosed",3.38216062555113,3.56927598617179,3.66908939540006,3.77394225573077,3.97373240841778
"2018-06-30","Gibson Lakes","Age-1","Metamorphosed",7.90536609335988,8.41653095747011,8.68168016234295,8.96090879635046,9.56048648737271
"2018-06-30","Gibson Lakes","Age-2+","Metamorphosed",7.64531869382305,8.0735151400919,8.31889261640077,8.56877081958938,9.08914643732898
"2018-07-07","Ponds Lake","Age-1","Larvae/Neotene",8.82621515153269,9.1441988828831,9.33494760828023,9.54055278366011,9.9319008721255
"2018-07-07","Ponds Lake","Age-1","Metamorphosed",4.40583223812155,4.66275004648322,4.80340224454344,4.96523718434116,5.30018920418451
"2018-07-07","Ponds Lake","Age-2+","Larvae/Neotene",8.52121427666052,8.89777770067865,9.10081283067235,9.33878053591902,9.78105797666459
"2018-07-07","Ponds Lake","Age-2+","Metamorphosed",4.5145330279892,4.72529366861806,4.83968663351021,4.96932833527813,5.23287973067593
"2018-07-14","Gibson Lakes","Age-2+","Metamorphosed",8.24438810720818,8.78034554011221,9.07807667979555,9.37973184839979,10.0106956671723
"2018-07-28","Ponds Lake","Age-1","Larvae/Neotene",8.71425324550167,9.04901085843539,9.22224555677673,9.42221535843475,9.79209322272592
"2018-07-28","Ponds Lake","Age-1","Metamorphosed",5.2054307873677,5.55024377243708,5.74864264007062,5.95770127653413,6.41855884369046
"2018-07-28","Ponds Lake","Age-2+","Metamorphosed",5.20547848245701,5.55024763259603,5.74864380421992,5.95769779014187,6.41853050512856
"2018-08-04","Gibson Lakes","Age-0","Larvae/Neotene",11.6442849584763,12.2017639164185,12.487939174615,12.8109698633506,13.3975451917916
"2018-08-11","Ponds Lake","Age-0","Larvae/Neotene",8.89290176489246,9.21854572892654,9.40017031490608,9.5882232546647,9.96981219864601
"2018-08-11","Ponds Lake","Age-1","Larvae/Neotene",8.76489098982764,9.09124605070356,9.27328523572477,9.47219625210146,9.85277499175987
"2018-08-11","Ponds Lake","Age-2+","Metamorphosed",4.86444672151145,5.13447966821123,5.28622040476179,5.44897692360575,5.79183171585729
"2018-08-18","Gibson Lakes","Age-0","Larvae/Neotene",11.6588142053919,12.2259868010603,12.5215483499429,12.8444918096268,13.4470023330014
"2018-08-25","Ponds Lake","Age-0","Larvae/Neotene",9.41393448986569,9.75711037890547,9.95978885819602,10.1521136596144,10.5983289442783
"2018-09-01","Gibson Lakes","Age-0","Larvae/Neotene",11.3708121783897,12.0028067276883,12.3453065507375,12.6843965484921,13.350010855825
"2018-09-08","Ponds Lake","Age-0","Larvae/Neotene",10.2461427270628,10.7285927192006,11.0126941712068,11.3091198399382,11.8625817153954
"2018-09-15","Gibson Lakes","Age-0","Metamorphosed",8.23712770138678,9.07716870460226,9.56139895020667,10.0620796192668,11.0473714961615
"2018-09-22","Ponds Lake","Age-0","Larvae/Neotene",11.4763696326383,12.2988527989382,12.7730693649344,13.2753052070436,14.1949684497534
"2018-09-22","Ponds Lake","Age-1","Larvae/Neotene",9.57000872628862,10.2446399702461,10.6732742863537,11.0904881509725,11.984679285064
