"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Inhibitory",0.0186574902281217,0.0377059815327313,0.0506687313355951,0.0663264023860069,0.102235677156734
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","NonInhibitory",0.00745674949571921,0.0150701968749889,0.0208435085304507,0.027782051504857,0.0443003629505921
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Uncertain",0.871266196452315,0.909601469968781,0.926643705722475,0.941286669295774,0.964150263571853
"Salamander","2018-06-16","Gibson Lakes","Age-1","Metamorphosed","Inhibitory",0.10448142670075,0.168867567140372,0.203886079931715,0.244130032406779,0.328707828743712
"Salamander","2018-06-16","Gibson Lakes","Age-1","Metamorphosed","NonInhibitory",0.00627191962757794,0.0134156602333374,0.0184669805574708,0.0251474791109386,0.043724687641502
"Salamander","2018-06-16","Gibson Lakes","Age-1","Metamorphosed","Uncertain",0.64892804905822,0.736186221250283,0.774726481188792,0.811544141357429,0.87368113226062
"Salamander","2018-06-16","Gibson Lakes","Age-2+","Metamorphosed","Inhibitory",0.0727649821291437,0.0925214304447887,0.104224932528271,0.116457689432189,0.141370613368522
"Salamander","2018-06-16","Gibson Lakes","Age-2+","Metamorphosed","NonInhibitory",0.017128559615179,0.0237168725530362,0.0276976410620503,0.0323089068591562,0.042511782030484
"Salamander","2018-06-16","Gibson Lakes","Age-2+","Metamorphosed","Uncertain",0.828732614830971,0.853381088165823,0.867066157610154,0.880470317778652,0.901660438042767
"Salamander","2018-06-23","Ponds Lake","Age-1","Larvae/Neotene","Inhibitory",0.0311172511522307,0.0412406835960714,0.0472360439202089,0.0539316287104332,0.0669961286972794
"Salamander","2018-06-23","Ponds Lake","Age-1","Larvae/Neotene","NonInhibitory",0.0170600409308686,0.0222025745107513,0.0256957248104787,0.029734751681825,0.0389165322932429
"Salamander","2018-06-23","Ponds Lake","Age-1","Larvae/Neotene","Uncertain",0.90244734135656,0.918757194178144,0.926514925634609,0.93367932506429,0.946260838398584
"Salamander","2018-06-23","Ponds Lake","Age-2+","Larvae/Neotene","Inhibitory",0.00846489736768152,0.0208431725686082,0.030667960872198,0.045103755534363,0.0821884595229623
"Salamander","2018-06-23","Ponds Lake","Age-2+","Larvae/Neotene","NonInhibitory",0.00532524435321591,0.0136603944585155,0.0207532942729775,0.0300378988903392,0.0559385025229656
"Salamander","2018-06-23","Ponds Lake","Age-2+","Larvae/Neotene","Uncertain",0.883579109539889,0.928258558436714,0.945511196050758,0.958877745436231,0.977666854749749
"Salamander","2018-06-23","Ponds Lake","Age-2+","Metamorphosed","Inhibitory",0.0640365201822692,0.0886795230272486,0.103434281191772,0.118890065927101,0.149195525613294
"Salamander","2018-06-23","Ponds Lake","Age-2+","Metamorphosed","NonInhibitory",0.0104491216637762,0.0160193777353958,0.0199656404112554,0.0239695592726584,0.0338864844470887
"Salamander","2018-06-23","Ponds Lake","Age-2+","Metamorphosed","Uncertain",0.827971601914077,0.860471863085578,0.876338988576599,0.891375319546417,0.917413051685237
"Salamander","2018-06-30","Gibson Lakes","Age-1","Metamorphosed","Inhibitory",0.14001218534374,0.205089835798693,0.244612048520291,0.283632451586827,0.379619507677706
