"","Point est.","Upper C.I."
"PropInhib[1]",1.09301571674856,1.29148071493628
"PropInhib[2]",1.06611862951776,1.21009551104973
"PropInhib[3]",1.00027201357826,1.00062317365778
"PropInhib[4]",1.0842408900147,1.25812785601382
"PropInhib[5]",1.19389129807597,1.55077974795481
"PropInhib[6]",1.02932210987631,1.09980011731002
"PropInhib[7]",1.00015098820933,1.00023792965088
"PropInhib[8]",1.43005227257437,2.11040535027498
"PropInhib[9]",1.00031717053652,1.00085785298607
"PropInhib[10]",1.03170726557777,1.09846522132853
"PropInhib[11]",1.10862759727854,1.32810733147469
"PropInhib[12]",1.00015052325922,1.00035790545073
"PropInhib[13]",1.01840458883698,1.06401780173137
"PropInhib[14]",1.00029321399074,1.00032450404124
"PropInhib[15]",1.27615234046673,1.75262195265713
"PropInhib[16]",1.01465144616918,1.04341899800526
"PropInhib[17]",1.00005743988018,1.00013583075566
"PropInhib[18]",1.01292074991857,1.03741920469455
"PropInhib[19]",1.05722162855804,1.18085294592267
"PropInhib[20]",1.18988670490562,1.53764658944809
"PropInhib[21]",1.00013598235108,1.00035878919778
"PropInhib[22]",1.00645664475573,1.02341520173906
"PropInhib[23]",1.03572395467876,1.12138630558772
"PropInhib[24]",1.00040568393471,1.00096202030595
"PropInhib[25]",1.19043304769332,1.55790329706025
"PropInhib[26]",1.06651227431499,1.19944904973059
"PropInhib[27]",1.01506544400105,1.05026162149053
"PropInhib[28]",1.09874322236584,1.29833722628535
"PropInhib[29]",1.10176625420533,1.31148087462009
"PropInhib[30]",1.11813675668483,1.35342984372829
"PropInhib[31]",1.0196404371805,1.06774759838004
"PropInhib[32]",1.08789571777898,1.27083499315664
"PropInhib[33]",1.00028768376543,1.00044544881761
"PropInhib[34]",1.00054677166765,1.00161421533929
"PropInhib[35]",1.00022020603857,1.00045912826983
"PropInhib[36]",1.00087105866619,1.00255034453919
"PropInhib[37]",1.00011003439111,1.00026833620736
"PropInhib[38]",1.00011034960034,1.00030125230709
"PropInhib[39]",1.00025163756926,1.00071379511916
"PropInhib[40]",1.00022138176979,1.00067569656443
"PropInhib[41]",1.00010801566684,1.00026158434526
"PropInhib[42]",1.00059568926819,1.00079109107011
"PropInhib[43]",1.0001326348778,1.00035847409103
"PropInhib[44]",1.00134976084697,1.00298815292979
"PropInhib[45]",1.00074839570378,1.00198510195157
"PropInhib[46]",1.00025191144261,1.00053429531779
"PropInhib[47]",1.00041003705177,1.00062889055965
"PropInhib[48]",1.00022354676531,1.0004754933118
"PropInhib[49]",1.00019534656114,1.00071255849322
"PropInhib[50]",1.00022759379288,1.00060723776043
"PropInhib[51]",1.00018113446055,1.00034698642798
"PropInhib[52]",1.00017779977898,1.00054915339879
"PropInhib[53]",1.00064382774155,1.00174775893068
"PropInhib[54]",1.0003191779123,1.00049368665114
"PropInhib[55]",1.00121281026337,1.00391133226839
"PropInhib[56]",1.00013261976849,1.00036024341999
"PropInhib[57]",1.00068815051658,1.00226985339678
"beta0",1.00580734107099,1.00676371064211
"betaInhib",1.00602410009844,1.00966145538537
"phi",1.00729905817977,1.01862615428719
