"SampleID","Type","Date","Site","Stratum","Age","LM","Kn","SVL_mm","Weight_g","Temperature_C","pH","Conductivity_uS","Dissolved_oxygen_ppm","Dissolved_oxygen_pct"
"G1_11","Salamander","2018-06-16","Gibson Lakes",1,"Age-2+","Metamorphosed",0.877073245890186,90,23,16.7,7.74,111,7.23,102
"G1_12","Salamander","2018-06-16","Gibson Lakes",1,"Age-2+","Metamorphosed",0.867228994592028,87,21,16.7,7.74,111,7.23,102
"G1_13","Salamander","2018-06-16","Gibson Lakes",1,"Age-2+","Metamorphosed",0.596707724682872,102,21,16.7,7.74,111,7.23,102
"G1_14","Salamander","2018-06-16","Gibson Lakes",1,"Age-2+","Metamorphosed",0.784168878746344,83,17,16.7,7.74,111,7.23,102
"G1_15","Salamander","2018-06-16","Gibson Lakes",1,"Age-2+","Metamorphosed",0.77240383549429,95,23,16.7,7.74,111,7.23,102
"G1_21","Salamander","2018-06-16","Gibson Lakes",2,"Age-1","Metamorphosed",0.668416786914335,48,4,16.9,8.03,105,7.48,104.9
"G1_22","Salamander","2018-06-16","Gibson Lakes",2,"Age-1","Metamorphosed",0.724556356519014,51,5,16.9,8.03,105,7.48,104.9
"G1_23","Salamander","2018-06-16","Gibson Lakes",2,"Age-1","Metamorphosed",0.579645085215212,51,4,16.9,8.03,105,7.48,104.9
"G1_24","Salamander","2018-06-16","Gibson Lakes",2,"Age-2+","Metamorphosed",0.700874111633087,106,27,16.9,8.03,105,7.48,104.9
"G1_25","Salamander","2018-06-16","Gibson Lakes",2,"Age-2+","Metamorphosed",0.998427942421772,94,29,16.9,8.03,105,7.48,104.9
"G1_26","Salamander","2018-06-16","Gibson Lakes",2,"Age-2+","Metamorphosed",0.917456722473324,96,28,16.9,8.03,105,7.48,104.9
"G1_27","Salamander","2018-06-16","Gibson Lakes",2,"Age-2+","Metamorphosed",0.833517611068123,100,28,16.9,8.03,105,7.48,104.9
"G1_28","Salamander","2018-06-16","Gibson Lakes",2,"Age-2+","Metamorphosed",0.793031536570587,115,37,16.9,8.03,105,7.48,104.9
"G1_31","Salamander","2018-06-16","Gibson Lakes",3,"Age-1","Larvae/Neotene",1.14716259296427,65,14,18.1,8.05,105,9.03,130.5
"G1_32","Salamander","2018-06-16","Gibson Lakes",3,"Age-1","Larvae/Neotene",1.04646249379883,61,11,18.1,8.05,105,9.03,130.5
"G1_33","Salamander","2018-06-16","Gibson Lakes",3,"Age-1","Larvae/Neotene",1.51815652384319,50,10,18.1,8.05,105,9.03,130.5
"G1_34","Salamander","2018-06-16","Gibson Lakes",3,"Age-2+","Metamorphosed",0.82283694662592,105,31,18.1,8.05,105,9.03,130.5
"G1_35","Salamander","2018-06-16","Gibson Lakes",3,"Age-2+","Metamorphosed",0.953340484663246,90,25,18.1,8.05,105,9.03,130.5
"G1_36","Salamander","2018-06-16","Gibson Lakes",3,"Age-2+","Metamorphosed",1.20499924085386,94,35,18.1,8.05,105,9.03,130.5
"G1_37","Salamander","2018-06-16","Gibson Lakes",3,"Age-2+","Metamorphosed",0.959335575593247,97,30,18.1,8.05,105,9.03,130.5
"G1_38","Salamander","2018-06-16","Gibson Lakes",3,"Age-2+","Metamorphosed",1.1440085815959,90,30,18.1,8.05,105,9.03,130.5
"G1_41","Salamander","2018-06-16","Gibson Lakes",4,"Age-2+","Metamorphosed",0.875923201246947,105,33,16.6,8.26,121,8.21,109.2
"G1_42","Salamander","2018-06-16","Gibson Lakes",4,"Age-2+","Metamorphosed",0.792482005297852,99,26,16.6,8.26,121,8.21,109.2
"G1_43","Salamander","2018-06-16","Gibson Lakes",4,"Age-2+","Metamorphosed",0.738780992464509,102,26,16.6,8.26,121,8.21,109.2
"G1_44","Salamander","2018-06-16","Gibson Lakes",4,"Age-2+","Metamorphosed",0.973900488231931,95,29,16.6,8.26,121,8.21,109.2
"G1_45","Salamander","2018-06-16","Gibson Lakes",4,"Age-2+","Metamorphosed",0.738821060038017,95,22,16.6,8.26,121,8.21,109.2
"G1_46","Salamander","2018-06-16","Gibson Lakes",4,"Age-1","Larvae/Neotene",0.856196585835404,61,9,16.6,8.26,121,8.21,109.2
"G2_21","Salamander","2018-06-30","Gibson Lakes",2,"Age-2+","Metamorphosed",1.29654305914201,90,34,16,8.41,110,6.84,90.1
"G2_41","Salamander","2018-06-30","Gibson Lakes",4,"Age-1","Metamorphosed",0.477595897327025,49,3,16,8.64,95,6.81,96.6
"G2_42","Salamander","2018-06-30","Gibson Lakes",4,"Age-2+","Metamorphosed",1.10171359163782,94,32,16,8.64,95,6.81,96.6
"G2_43","Salamander","2018-06-30","Gibson Lakes",4,"Age-2+","Metamorphosed",0.817431016965187,91,22,16,8.64,95,6.81,96.6
"G3_11","Salamander","2018-07-14","Gibson Lakes",1,"Age-2+","Metamorphosed",0.905268751401628,98,29,21.1,8.51,137,6.12,95.5
"G3_12","Salamander","2018-07-14","Gibson Lakes",1,"Age-2+","Metamorphosed",0.860884768322573,103,31,21.1,8.51,137,6.12,95.5
"G4_11","Salamander","2018-08-04","Gibson Lakes",1,"Age-0","Larvae/Neotene",0.970766031271648,55,8,16.8,8.4,95,5.35,75.3
"G4_12","Salamander","2018-08-04","Gibson Lakes",1,"Age-0","Larvae/Neotene",1.32384169627986,53,10,16.8,8.4,95,5.35,75.3
