"","Fungi","Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;Rhizophydiales_fam_Incertae_sedis;Batrachochytrium;dendrobatidis","Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium;slooffiae","Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;victoriae","Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Candida;sake","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Mycosphaerella;tassiana","Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;diffluens","Fungi;Ascomycota;Leotiomycetes;Helotiales","Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;tephrensis","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis;pinicola","Fungi;Ascomycota","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Sarocladium;bactrocephalum","Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus","Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Thelebolus;spongiae","Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Epicoccum;dendrobii","Fungi;Basidiomycota","Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetales_fam_Incertae_sedis;Resinicium;bicolor","Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Cantharellales_fam_Incertae_sedis;Sistotrema;autumnale","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Meristemomyces;frigidus","Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces","Fungi;Chytridiomycota","Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Coleophoma","Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Ramularia","Fungi;Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Pseudeurotium;bakeri","Fungi;Ascomycota;Arthoniomycetes;Lichenostigmatales;Phaeococcomycetaceae;Phaeococcomyces","Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Spirosphaera;carici-graminis","Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis;caroliniana","Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Cryptococcus","Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Udeniomyces;puniceus","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;delicatulum","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium","Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;stepposum","Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium","Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;tenuissima","Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;babjevae","Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula","Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Podosphaera","Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae;Celosporium","Fungi;Ascomycota;Leotiomycetes;Helotiales;Leotiaceae;Pezoloma;ericae","Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae","Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;infirmominiatum","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Ramularia;hydrangeae-macrophyllae","Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella","Fungi;Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia;muriae","Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Crocicreas;cyathoideum","Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Heterosphaeria;veratri","Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma;terrea","Fungi;Basidiomycota;Tremellomycetes","Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;wieringae","Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma","Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;rishikesha","Fungi;Ascomycota;Leotiomycetes;Phacidiales;Phacidiaceae;Phacidium;pseudophacidioides","Fungi;Rozellomycota","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Ganodermataceae;Ganoderma","Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina","Fungi;Basidiomycota;Tremellomycetes;Holtermanniales;Holtermanniales_fam_Incertae_sedis;Holtermanniella;wattica","Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Laetinaevia","Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae","Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Herpotrichia;juniperi","Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;decumbens","Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massarinaceae;Stagonospora;trichophoricola","Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;flavus","Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Hyphodontia;pallidula","Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Tricladium;alaskense","Fungi;Ascomycota;Dothideomycetes;Capnodiales","Other"
"G1_2W",131066,0,0,32,0,13,0,0,5,0,26,0,63,0,0,4195,0,0,0,32,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,1,0,0,0,54
"G1_3W",219625,0,0,151,0,4,0,0,0,0,179,0,90,0,0,9264,0,0,0,483,7,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,1,0,2,0,0,0,249
"G1_4W",236338,0,0,75,0,9,0,6,11,11,96,0,20,0,0,6992,0,8,0,0,8,149,0,0,3,0,0,0,0,0,22,0,0,0,18,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,4,1,0,92,0,0,0,2,0,0,0,0,0,0,0,0,178
"G2_1W",32613,0,0,174,0,18,0,58,24,55,2140,0,78,0,0,9621,7,0,7,0,513,723,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,51,0,0,0,0,0,1342,0,0,0,0,0,0,0,0,1,13,0,0,1901
"G2_2W",45524,0,0,35,0,12,0,6,0,0,3633,0,285,0,0,13161,0,0,0,97,1021,461,0,0,42,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,0,1,0,6,0,1214
"G2_3W",27342,0,0,98,0,5,0,0,0,0,4635,0,32,0,0,17381,0,0,0,4,202,525,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,0,0,0,0,0,0,0,24,4,0,31,0,425
"G2_4W",14288,0,0,0,0,0,0,0,13,0,1182,0,42,0,0,3630,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,0,0,0,0,0,0,0,0,0,27,0,0,145
"G4_1W",28500,0,0,0,0,56,0,0,0,28,3720,0,43,0,0,7745,0,0,0,0,90,400,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,16,0,0,3,0,0,0,1024
"G4_2W",198589,0,0,12,0,0,0,0,0,0,4205,0,40,0,0,6875,0,0,0,0,9602,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,1,0,0,0,384
"G4_3W",130910,0,0,26,0,0,0,0,0,0,2168,0,2,0,0,3793,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481,0,0,0,0,0,0,0,0,0,14,0,0,271
"G4_4W",66957,0,0,0,0,9,0,0,0,0,5451,0,5,0,0,3980,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591,0,0,0,0,0,0,0,0,0,0,0,0,113
"G5_1W",68740,0,0,553,0,0,0,0,0,0,5455,0,68,0,0,13473,0,0,0,0,11,601,0,0,24,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,1412,0,0,0,0,0,0,0,0,0,0,0,0,1340
"G5_2W",95072,0,0,0,0,1,0,22,0,0,7127,0,13,0,0,14490,0,0,0,0,12,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,0,7,0,0,0,427
"G5_3W",78193,0,0,160,0,0,0,0,0,0,2595,0,107,0,0,14711,0,0,0,0,28,0,0,0,140,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,2631,0,0,0,0,0,0,0,0,5,0,0,0,1278
"G5_4W",128631,0,0,212,0,10,0,39,0,9,5746,0,336,0,1,32114,0,0,0,0,15,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,1434,0,0,0,0,0,0,0,0,0,64,0,0,580
"G6_1W",35979,0,0,386,39,1,0,22,20,501,7546,0,30,0,0,9311,18,4,0,0,79,514,83,0,6,0,0,0,0,1,2,10,0,0,0,83,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,834,0,4,0,0,0,0,0,0,0,3885,0,0,19558
"G6_2W",73621,0,0,88,0,0,0,0,0,0,2787,0,1,0,0,8017,0,0,0,0,34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483,0,0,0,0,0,0,0,0,0,0,0,0,598
"G6_3W",125125,0,0,172,0,2,0,0,10,56,4500,0,0,0,0,6934,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,10,0,0,0,0,0,0,38,0,227,0,0,1520
"G6_4W",46481,0,0,163,0,0,0,0,0,0,3291,0,0,0,0,23756,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3141,0,0,0,0,0,0,0,0,0,11,0,0,211
"G7_1W",44722,0,0,48,0,46,0,0,0,169,4618,0,0,0,0,11266,0,0,0,0,131,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,214,0,0,2273
"G7_2W",74292,0,0,0,0,2,0,0,0,0,3430,0,6,0,0,11873,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,15,0,0,0,0,0,0,0,0,44,0,0,814
