"Set","Model","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3435,"4 hrs, 43 min, 44 sec",140505.590255092
"2","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3334,"4 hrs, 27 min, 5 sec",140453.483751666
"2","2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3334,"4 hrs, 25 min, 3 sec",140443.00256073
"2","3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3334,"4 hrs, 34 min, 46 sec",140442.693803808
"2","4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,3334,"4 hrs, 34 min, 2 sec",140448.658874337
"2","5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3334,"4 hrs, 28 min, 8 sec",140448.483467055
"2","6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,3334,"4 hrs, 26 min, 16 sec",140472.736330442
"2","7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,3334,"4 hrs, 19 min, 3 sec",140400.439198829
"2","8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 31 min, 19 sec",140431.192482019
"2","9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 40 min, 35 sec",140435.014167278
"2","10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 22 min, 58 sec",140410.82146439
"2","11",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 13 min, 42 sec",140466.178206651
"2","12",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 22 min, 38 sec",140405.826892177
"2","13",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 40 min, 46 sec",140434.691615393
"2","14",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 27 min, 50 sec",140389.944660186
"2","15",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 36 min, 7 sec",140401.545389883
"2","16",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 25 min, 4 sec",140431.164322004
"2","17",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 32 min, 13 sec",140412.618317575
"2","18",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 26 min, 55 sec",140412.303537436
"2","19",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"3 hrs, 30 min, 41 sec",140400.355506712
"2","20",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 28 min, 50 sec",140412.271527322
"2","21",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 40 min, 13 sec",140453.386121173
"2","22",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"3 hrs, 37 min, 52 sec",140485.935795877
"2","23",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 32 min, 30 sec",140417.076183771
"2","24",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2426,"3 hrs, 22 min, 16 sec",140834.196348234
"3","1",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3233,"4 hrs, 13 min, 40 sec",140380.929888128
"3","2",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3233,"3 hrs, 48 min, 29 sec",140408.290475888
"3","3",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3233,"3 hrs, 28 min, 59 sec",140368.185791372
"3","4",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,3233,"4 hrs, 18 min, 48 sec",140394.919997188
"3","5",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3233,"3 hrs, 33 min, 5 sec",140376.591700087
"3","6",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,3233,"3 hrs, 39 min, 36 sec",140424.071151389
"3","7",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,3233,"3 hrs, 24 min, 28 sec",140394.586793588
"3","8",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 29 min, 48 sec",140349.072717701
"3","9",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,3233,"4 hrs, 26 min, 36 sec",140455.706248774
"3","10",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,20,21,3233,"4 hrs, 4 min, 39 sec",143681.523552463
"3","11",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 26 min, 28 sec",140385.749931019
"3","12",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 30 min, 45 sec",140386.02526464
"3","13",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 30 min, 10 sec",140382.442398951
"3","14",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 29 min, 41 sec",140362.437875106
"3","15",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 26 min, 36 sec",140399.720624721
"3","16",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"3 hrs, 27 min, 31 sec",140380.198324501
"3","17",1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"4 hrs, 11 min, 44 sec",140427.226394417
"3","18",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,3233,"3 hrs, 24 min, 11 sec",140338.289147818
"3","19",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"4 hrs, 22 min, 19 sec",140423.17905895
"3","20",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"4 hrs, 25 min, 56 sec",140395.417632867
"3","21",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,3233,"3 hrs, 29 min, 48 sec",142894.604487907
"3","22",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3233,"4 hrs, 9 min, 6 sec",140361.922146567
"3","23",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2325,"2 hrs, 38 min, 56 sec",140787.085042487
"4","1",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3132,"3 hrs, 14 min, 6 sec",140340.09236411
"4","2",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3132,"3 hrs, 16 min, 50 sec",140328.127399393
