"Set","Model","Age","LM","Temp","pH","DO_ppm","Age:LM","Age:Temp","LM:Temp","Age:pH","LM:pH","Temp:pH","Age:DO_ppm","LM:DO_ppm","Temp:DO_ppm","pH:DO_ppm","Age:LM:Temp","Age:LM:pH","Age:Temp:pH","LM:Temp:pH","Age:LM:DO_ppm","Age:Temp:DO_ppm","LM:Temp:DO_ppm","Age:pH:DO_ppm","LM:pH:DO_ppm","Temp:pH:DO_ppm","Age:LM:Temp:pH","Age:LM:Temp:DO_ppm","Age:LM:pH:DO_ppm","Age:Temp:pH:DO_ppm","LM:Temp:pH:DO_ppm","Age:LM:Temp:pH:DO_ppm","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3234,"6 hrs, 45 min, 38 sec",141839.273208729
"2","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3133,"6 hrs, 34 min, 3 sec",141770.516324422
"2","2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3133,"6 hrs, 49 min, 12 sec",141787.150067585
"2","3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3133,"6 hrs, 44 min, 7 sec",141817.752338542
"2","4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,3133,"6 hrs, 36 min, 0 sec",141787.261471209
"2","5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3133,"6 hrs, 44 min, 49 sec",141823.514998287
"2","6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,3133,"6 hrs, 44 min, 45 sec",141839.280181853
"2","7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,3133,"6 hrs, 52 min, 29 sec",141744.699298172
"2","8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 43 min, 38 sec",141789.782543753
"2","9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 39 min, 52 sec",141755.836056033
"2","10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 51 min, 5 sec",141788.343342533
"2","11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 44 min, 5 sec",141783.756536362
"2","12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 43 min, 36 sec",141776.069848355
"2","13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 40 min, 32 sec",141843.103617834
"2","14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 46 min, 45 sec",141755.716459607
"2","15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 39 min, 27 sec",141817.984931283
"2","16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 57 min, 14 sec",141770.353557023
"2","17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 35 min, 47 sec",141773.450988114
"2","18",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 57 min, 17 sec",141802.393796614
"2","19",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 42 min, 57 sec",141788.254153423
"2","20",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"7 hrs, 5 min, 57 sec",142001.012639101
"2","21",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 35 min, 39 sec",141804.760974996
"2","22",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 43 min, 47 sec",141780.488686215
"2","23",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 57 min, 53 sec",141873.662341473
"2","24",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 47 min, 56 sec",141813.926469889
"2","25",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 43 min, 49 sec",141762.441638324
"2","26",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 45 min, 38 sec",141806.613125843
"2","27",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 50 min, 59 sec",142013.27340203
"2","28",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 52 min, 16 sec",141864.033527456
"2","29",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 57 min, 13 sec",141738.082704259
"2","30",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 40 min, 27 sec",141808.010816596
"2","31",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 53 min, 41 sec",141765.937845891
"3","1",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3032,"6 hrs, 24 min, 52 sec",141737.634471332
"3","2",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3032,"6 hrs, 42 min, 9 sec",141729.979030254
"3","3",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3032,"6 hrs, 28 min, 46 sec",141692.563941709
"3","4",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,3032,"6 hrs, 24 min, 12 sec",141716.836930469
"3","5",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3032,"6 hrs, 29 min, 27 sec",141798.434988377
"3","6",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,3032,"7 hrs, 2 min, 1 sec",141759.278050328
"3","7",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,3032,"6 hrs, 45 min, 43 sec",141712.84890235
"3","8",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 30 min, 59 sec",141763.160772997
"3","9",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 27 min, 7 sec",141756.216537221
"3","10",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 41 min, 39 sec",141756.77074185
"3","11",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 33 min, 55 sec",141781.063779836
"3","12",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 33 min, 17 sec",141726.495144384
"3","13",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 28 min, 23 sec",141719.194526108
"3","14",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 20 min, 34 sec",141769.806356404
"3","15",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 25 min, 50 sec",141752.532883695
"3","16",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 21 min, 13 sec",141684.455992704
"3","17",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 40 min, 21 sec",141724.093251793
"3","18",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 15 min, 2 sec",141785.9417826
"3","19",1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 25 min, 59 sec",141784.450336745
"3","20",1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 21 min, 35 sec",141906.968442171
"3","21",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 33 min, 5 sec",141761.514787499
"3","22",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 31 min, 26 sec",141731.687526138
"3","23",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 40 min, 10 sec",141858.580413851
"3","24",1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 44 min, 27 sec",141770.634823149
"3","25",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 26 min, 57 sec",141727.677510039
"3","26",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 19 min, 45 sec",141744.167262046
"3","27",1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 29 min, 50 sec",141952.928068668
"3","28",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 32 min, 48 sec",141877.968783641
"3","29",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 37 min, 15 sec",141729.304744892
"3","30",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 42 min, 50 sec",141752.235874433
"4","1",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2931,"7 hrs, 13 min, 51 sec",141667.838760273
"4","2",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,2931,"6 hrs, 19 min, 0 sec",141651.000333824
"4","3",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,2931,"6 hrs, 8 min, 43 sec",141679.569302594
"4","4",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2931,"6 hrs, 33 min, 52 sec",141668.36854675
"4","5",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,2931,"6 hrs, 22 min, 29 sec",141699.774459405
"4","6",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,2931,"6 hrs, 34 min, 47 sec",141692.974993053
"4","7",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2931,"6 hrs, 24 min, 52 sec",141577.71956994
"4","8",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 35 min, 56 sec",141673.431064665
"4","9",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,2931,"8 hrs, 30 min, 6 sec",141631.339138314
"4","10",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 25 min, 51 sec",141691.976753459
"4","11",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 30 min, 47 sec",141734.68394074
"4","12",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 25 min, 25 sec",141692.802154353
"4","13",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 34 min, 34 sec",141669.40760622
"4","14",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 40 min, 17 sec",141649.7937826
"4","15",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 35 min, 35 sec",141699.470341891
"4","16",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 23 min, 21 sec",141641.095724021
"4","17",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 20 min, 0 sec",141725.748594865
"4","18",1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 31 min, 39 sec",141663.98603536
"4","19",1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 17 min, 46 sec",141879.065366511
"4","20",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 36 min, 22 sec",141652.512178059
"4","21",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 36 min, 2 sec",141689.491442725
"4","22",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 15 min, 25 sec",141801.496708522
"4","23",1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 36 min, 37 sec",141720.636132319
"4","24",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 26 min, 3 sec",141637.432872528
"4","25",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 28 min, 16 sec",141664.887287259
"4","26",1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 38 min, 4 sec",141850.058778088
"4","27",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 36 min, 23 sec",141794.826429013
"4","28",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 41 min, 43 sec",141681.163357027
"4","29",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2931,"6 hrs, 23 min, 25 sec",141670.544910953
"5","1",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,2830,"6 hrs, 14 min, 25 sec",141656.317936715
"5","2",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,2830,"6 hrs, 9 min, 4 sec",141667.426991999
"5","3",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2830,"6 hrs, 5 min, 11 sec",141568.85946324
"5","4",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,2830,"6 hrs, 6 min, 39 sec",141644.184415578
"5","5",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,2830,"6 hrs, 8 min, 17 sec",141656.700290748
"5","6",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,2830,"6 hrs, 20 min, 21 sec",141636.142035752
"5","7",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,2830,"6 hrs, 13 min, 44 sec",141627.32505877
"5","8",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,2830,"8 hrs, 18 min, 35 sec",141598.071520208
"5","9",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,2830,"5 hrs, 51 min, 7 sec",141643.302399267
"5","10",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,2830,"6 hrs, 58 min, 31 sec",141693.326749142
"5","11",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"4 hrs, 1 min, 35 sec",141650.575755901
"5","12",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 40 min, 46 sec",141610.557997728
"5","13",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"4 hrs, 7 min, 56 sec",141581.484290275
"5","14",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"4 hrs, 30 min, 19 sec",141669.973524542
"5","15",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 33 min, 38 sec",141630.412687304
"5","16",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"4 hrs, 7 min, 19 sec",141671.813633958
"5","17",1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 49 min, 36 sec",141648.099186565
"5","18",1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 34 min, 23 sec",141981.136361127
"5","19",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 35 min, 4 sec",141612.785306654
"5","20",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 49 min, 15 sec",141684.881077712
"5","21",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 43 min, 36 sec",141803.39630156
"5","22",1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 41 min, 48 sec",141634.741899813
"5","23",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 32 min, 2 sec",141607.682283312
"5","24",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"4 hrs, 5 min, 43 sec",141604.558212149
"5","25",1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 4 min, 36 sec",141752.426835259
"5","26",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 38 min, 2 sec",141765.925370421
"5","27",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"4 hrs, 18 min, 24 sec",141661.545334434
"5","28",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2830,"3 hrs, 44 min, 39 sec",141645.484726517
"6","1",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,2729,"3 hrs, 22 min, 57 sec",141605.742916131
"6","2",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,2729,"3 hrs, 34 min, 38 sec",141626.312813241
"6","3",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,2729,"3 hrs, 29 min, 13 sec",141597.801305371
"6","4",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,2729,"3 hrs, 28 min, 2 sec",141628.098867206
"6","5",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,2729,"3 hrs, 34 min, 37 sec",141623.991776926
"6","6",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,2729,"3 hrs, 30 min, 33 sec",141638.805408515
"6","7",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,2729,"3 hrs, 24 min, 1 sec",141584.59250592
"6","8",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,2729,"3 hrs, 23 min, 59 sec",141592.700713411
"6","9",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,2729,"3 hrs, 53 min, 14 sec",141623.271579569
"6","10",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,2729,"2 hrs, 53 min, 26 sec",141562.433114981
"6","11",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2729,"3 hrs, 26 min, 59 sec",141597.70339638
"6","12",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2729,"3 hrs, 38 min, 8 sec",141590.659374472
"6","13",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2729,"2 hrs, 52 min, 45 sec",141628.129377038
"6","14",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2729,"3 hrs, 23 min, 27 sec",141559.889795493
