"Set","Model","Stratum","Site","Week1","Week2","Site:Week1","Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"1","1",1,1,1,1,1,1,0,0,1329,"0 hrs, 33 min, 43 sec",34440.5506886116
"2","1",1,1,1,1,1,0,0,0,1246,"0 hrs, 33 min, 44 sec",34444.2420444571
"2","2",1,1,1,1,0,1,0,0,1246,"0 hrs, 33 min, 34 sec",34686.0877369949
"2","3",1,1,1,0,1,1,0,0,1246,"0 hrs, 30 min, 40 sec",34202.1674605262
"2","4",1,1,0,1,1,1,0,0,1246,"0 hrs, 30 min, 33 sec",34746.4396403429
"2","5",1,0,1,1,1,1,0,0,1246,"0 hrs, 25 min, 39 sec",34422.1886100313
"2","6",0,1,1,1,1,1,0,0,500,"0 hrs, 20 min, 38 sec",35906.1857006111
"3","1",1,1,1,0,1,0,0,0,1163,"0 hrs, 30 min, 48 sec",34278.8451961572
"3","2",1,1,1,0,0,1,0,0,1163,"0 hrs, 29 min, 16 sec",34470.5403411218
"3","3",1,1,0,0,1,1,0,0,1163,"0 hrs, 31 min, 50 sec",34556.0282273498
"3","4",1,0,1,0,1,1,0,0,1163,"0 hrs, 25 min, 45 sec",34204.0628070773
"3","5",0,1,1,0,1,1,0,0,417,"0 hrs, 20 min, 2 sec",35691.1457959569
"End","Best",1,1,1,0,1,1,0,0,1246,"0 hrs, 30 min, 40 sec",34202.1674605262
