"Set","Model","Stratum","Site","Week1","Week2","Site:Week1","Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"1","1",1,1,1,1,1,1,1,1,1089,"0 hrs, 21 min, 9 sec",29392.3378090582
"2","1",1,1,1,1,1,0,6,5,1021,"0 hrs, 18 min, 50 sec",29423.3829559867
"2","2",1,1,1,1,0,1,0,0,1021,"0 hrs, 18 min, 3 sec",29481.8197966719
"2","3",1,1,1,0,1,1,10,92,1021,"0 hrs, 17 min, 2 sec",29403.9817549969
"2","4",1,1,0,1,1,1,3,4,1021,"0 hrs, 17 min, 5 sec",29607.8153090757
"2","5",1,0,1,1,1,1,0,0,1021,"0 hrs, 16 min, 27 sec",29359.8904799484
"2","6",0,1,1,1,1,1,0,3,410,"0 hrs, 13 min, 8 sec",29713.3043579672
"3","1",1,0,1,1,1,0,1,3,953,"0 hrs, 17 min, 4 sec",29451.3088910665
"3","2",1,0,1,1,0,1,2,1,953,"0 hrs, 16 min, 37 sec",29476.7466133146
"3","3",1,0,1,0,1,1,70,133,953,"0 hrs, 17 min, 27 sec",29424.5956273085
"3","4",1,0,0,1,1,1,0,5,953,"0 hrs, 15 min, 58 sec",29582.2123436582
"3","5",0,0,1,1,1,1,1,0,342,"0 hrs, 12 min, 22 sec",29941.2347062942
"End","Best",1,0,1,1,1,1,0,0,1021,"0 hrs, 16 min, 27 sec",29359.8904799484
