"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi",0.247230367680657,0.258203608837369,0.264645315834882,0.271845872577869,0.284212340635064
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;Rhizophydiales_fam_Incertae_sedis;Batrachochytrium;dendrobatidis",0.00209525295932679,0.00258044741979124,0.00288712478040827,0.00322921772854484,0.00391162301360335
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium;slooffiae",0.0517809311594079,0.0576886326750901,0.0614377895396955,0.065126929248257,0.0728113369164635
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;victoriae",0.0630721224079347,0.0731199955505782,0.0786884982221365,0.083908151237247,0.0955106717886507
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Candida;sake",0.0338925474485745,0.0390051064356148,0.0417531912090101,0.0446886291780805,0.0507582667353502
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Mycosphaerella;tassiana",0.0421014231914678,0.0498255270447894,0.0540271564428218,0.0585202361583994,0.0680115148542302
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;diffluens",0.0125515558733063,0.0152390396068265,0.0167842619313845,0.0183912959136481,0.0216715535302654
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Cryptococcus;uniguttulatus",0.0291048161662864,0.033152993326799,0.0355560248860047,0.0382825334471303,0.0432731352917849
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota;Leotiomycetes;Helotiales",0.00466183499275481,0.00597325708588791,0.00677892419825668,0.00762323065386452,0.00974225551503481
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;tephrensis",0.00686562703151895,0.00860787812566261,0.00969418995514722,0.0108985048688565,0.0135937508941132
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis;pinicola",0.00488107945553351,0.00623140794625928,0.00700658872519689,0.00782532594313594,0.00981090683778029
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota",0.00453736856048326,0.00556308622518958,0.00628184195134457,0.00703319749650635,0.00868017185314538
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Sarocladium;bactrocephalum",0.00823626488727644,0.0101629086737721,0.0112673103157396,0.0124756205231052,0.0150339319749498
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus",0.00385130896693359,0.00499507889623855,0.00562641253505745,0.00637645613465196,0.00807452000432244
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Thelebolus;spongiae",0.00326378885825005,0.00410621462017456,0.00464008985465884,0.00519473044376885,0.00654389579155007
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Epicoccum;dendrobii",0.00303477781401147,0.0038990867756414,0.00437825130927449,0.00495238131865686,0.0061221590993495
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Basidiomycota",0.00461851553326128,0.00583396007150786,0.00662223060843476,0.00750927952436909,0.00950963682938286
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetales_fam_Incertae_sedis;Resinicium;bicolor",0.00350609850323196,0.00444662987968497,0.00504136319300118,0.00570339246935332,0.00710864352167459
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota;Sordariomycetes;Myrmecridiales;Myrmecridiaceae;Myrmecridium;schulzeri",0.00290860814716078,0.00358632663536854,0.00408476672694415,0.00463082238139389,0.00577133252389375
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Cantharellales_fam_Incertae_sedis;Sistotrema;autumnale",0.00349452528782336,0.00457713607933621,0.00517584481612041,0.00586608516017349,0.00749708560275737
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria",0.00346644956369056,0.00446513389284255,0.00504659941301164,0.00571560736389852,0.00712874043922187
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Meristemomyces;frigidus",0.00328814698011563,0.00426133799921809,0.00481003106616411,0.00541368034769826,0.00679078340831536
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces",0.00317458907031987,0.00408115518052314,0.00460706261848091,0.00513487754465358,0.00629293389976458
"Salamander","2018-06-16","Gibson Lakes","Age-1","Larvae/Neotene","Fungi;Chytridiomycota",0.00328725261309659,0.0040707501620892,0.00459401607039231,0.00514433792379169,0.00648602245071417
